date,stress_raw,stress_score,stress_percentile,stress_change_1d,stress_change_5d,stress_change_20d,contrib_avg_abs_partial_correlation,contrib_graph_density,contrib_spectral_radius,contrib_market_mode_share,contrib_centrality_concentration,contrib_largest_cc_share,contrib_average_clustering,contrib_negative_diversification,contrib_edge_turnover,contrib_community_compression,network_state,layer,window,return_type,number_of_nodes,number_of_edges,graph_density,alpha,n_excluded_nodes,average_degree,average_strength,median_strength,maximum_strength,edge_weight_mean,edge_weight_std,average_absolute_weight,average_signed_weight,positive_edge_ratio,negative_edge_ratio,centrality_concentration,avg_abs_partial_correlation,average_partial_correlation,average_clustering,global_transitivity,assortativity,largest_cc_share,n_connected_components,spectral_radius,algebraic_connectivity,laplacian_entropy,spectral_gap,eigenvalue_concentration,modularity,number_of_communities,largest_community_share,community_size_herfindahl,community_method,sector_purity,community_compression,market_mode_share,correlation_eigenvalue_concentration,negative_diversification,mst_length,mst_total_length,mst_max_degree,mst_mean_degree,mst_diameter,network_fragility,edge_turnover,community_ari,community_nmi,community_jaccard,community_turnover
2023-07-21,-0.29438212482231546,35.691844302467764,0.1886928339935182,2.5956921573773073,0.3713401985922573,-1.3037584664493735,-0.1629115110949272,-0.14172058715488953,0.19406613921269286,-0.30000000000000004,-0.30000000000000004,0.0674490759470226,0.03234641804811,0.0,0.05031336476045051,0.2660749754592254,low_connectivity,partial_correlation,60,residual,30,76,0.17471264367816092,0.02,0,5.066666666666666,0.46909087896347046,0.44334906339645386,1.3228371143341064,0.09258373081684113,0.03254302591085434,0.01617554761469364,-0.002715152455493808,0.42105263157894735,0.5789473684210527,0.04421648755669594,0.01617554761469364,-0.002715152455493808,0.1150692391896017,0.21265822784810126,-0.07548560618188507,1.0,1,0.6342837810516357,0.04737458378076553,3.125849723815918,0.21986594796180725,0.0586821511387825,0.332747274115845,3,0.4,0.3488888888888889,greedy,0.4666666666666667,0.9310344827586207,0.07568532973527908,0.03842409700155258,0.0,1.3156725332654755,38.15450346469879,4.0,1.9333333333333333,13.0,0.40630971041161895,0.19999999999999996,0.3645376823047633,0.4558432053173854,0.5369075369075369,0.5441567946826146
2023-07-24,-0.490162534181185,27.282728775243225,0.07163426925845932,-8.40911552722454,-11.36563601788917,-5.955049403776808,-0.17229934282884107,-0.12761055057819914,0.14146049981074724,-0.30000000000000004,-0.30000000000000004,0.0674490759470226,-0.009327466675669796,0.0,0.02875049414882891,0.18141475599492637,low_connectivity,partial_correlation,60,residual,30,77,0.17701149425287357,0.02,0,5.133333333333334,0.4542868435382843,0.4591432213783264,1.0591009855270386,0.08849743753671646,0.02888142503798008,0.01566506363451481,-0.0019408779917284846,0.44155844155844154,0.5584415584415584,0.04185370355844498,0.01566506363451481,-0.0019408779917284846,0.092882346384821,0.19230769230769232,-0.012824621214151177,1.0,1,0.5853973627090454,0.058904387056827545,3.151628255844116,0.2079848349094391,0.054270051419734955,0.3146242640123996,5,0.3,0.22,greedy,0.4666666666666667,0.8620689655172413,0.07138360291719437,0.03775692731142044,0.0,1.321843459688384,38.333460330963135,4.0,1.9333333333333333,14.0,0.4062883992704395,0.1785714285714286,0.29889596260778467,0.46143108149591455,0.48148148148148145,0.5385689185040854
2023-07-25,-0.4726652017448871,27.982488448046578,0.07880532565671104,0.6997596728033528,-5.1135452446315846,-4.206371502074273,-0.1693576299388709,-0.14172058715488953,0.15901978656044288,-0.30000000000000004,-0.30000000000000004,0.0674490759470226,0.0017789026976526901,0.0,0.02875049414882891,0.18141475599492637,low_connectivity,partial_correlation,60,residual,30,76,0.17471264367816092,0.02,0,5.066666666666666,0.458925724029541,0.4349900484085083,1.0883067846298218,0.09057744592428207,0.027283474802970886,0.015825025737285614,-0.002495706779882312,0.42105263157894735,0.5789473684210527,0.04182270169258118,0.015825025737285614,-0.002495706779882312,0.09879530190527423,0.20107238605898123,0.05697814311556903,1.0,1,0.6017152070999146,0.056129831820726395,3.157975435256958,0.22923973202705383,0.054272882640361786,0.3311349526295108,5,0.3,0.2288888888888889,greedy,0.4666666666666667,0.8620689655172413,0.07019815593957901,0.03778630122542381,0.0,1.3207871379523441,38.30282700061798,4.0,1.9333333333333333,13.0,0.4055117817902474,0.1785714285714286,0.7971217269638217,0.8887723188590158,0.7857142857142858,0.11122768114098425
2023-07-26,-0.2760893333386539,36.535908954081414,0.2068345323741007,8.553420506034836,3.2757718619300817,-3.2370412376149176,-0.1496521373347207,-0.11350051400150891,0.20410836462659476,-0.30000000000000004,-0.30000000000000004,0.0674490759470226,0.013678237227054954,0.0,0.12041288420197718,0.18141475599492637,low_connectivity,partial_correlation,60,residual,30,78,0.1793103448275862,0.02,0,5.2,0.4900000989437103,0.4611498713493347,1.061946988105774,0.0942307859659195,0.03039712645113468,0.016896555200219154,-0.001319536822848022,0.48717948717948717,0.5128205128205128,0.04201676696538925,0.016896555200219154,-0.001319536822848022,0.10513042668190505,0.21914357682619648,0.0251177966128126,1.0,1,0.6436160206794739,0.06044822931289673,3.1545255184173584,0.2663794159889221,0.055768754333257675,0.3005287996864363,5,0.26666666666666666,0.20666666666666672,greedy,0.4666666666666667,0.8620689655172413,0.0743710994720459,0.03841954097151756,0.0,1.3157032070488766,38.15539300441742,5.0,1.9333333333333333,13.0,0.4071090372643251,0.2696629213483146,0.28593413357956293,0.5156270676111868,0.4874458874458874,0.4843729323888132
2023-07-27,-0.4201743475139184,30.146134987703547,0.10679611650485436,-6.3897739663778665,-2.9500171573869096,-7.544379470520404,-0.15784727351889744,-0.1558306237315798,0.22266322152666868,-0.30000000000000004,-0.30000000000000004,0.0674490759470226,-0.006773997880887474,0.0,0.02875049414882891,0.18141475599492637,low_connectivity,partial_correlation,60,residual,30,75,0.1724137931034483,0.02,0,5.0,0.47707685828208923,0.4321090579032898,1.077002763748169,0.0954153761267662,0.03360168635845184,0.016450926661491394,-0.0014017511857673526,0.49333333333333335,0.5066666666666667,0.04383878409862518,0.016450926661491394,-0.0014017511857673526,0.09424179580514011,0.20207253886010362,0.00951559709482737,1.0,1,0.6608590483665466,0.061629023402929306,3.125291347503662,0.3009127974510193,0.05550559610128403,0.3278995206344664,5,0.3,0.23555555555555557,greedy,0.4666666666666667,0.8620689655172413,0.07503341883420944,0.038383543491363525,0.0,1.3154726192868988,38.14870595932007,5.0,1.9333333333333333,14.0,0.4054175257340245,0.1785714285714286,0.3180094067668032,0.525694053657187,0.5190909090909092,0.474305946342813
2023-07-28,-0.4289438829963597,29.778084069947802,0.10388209920920201,-0.3680509177557454,-5.913760232519962,-7.084643090464425,-0.15804892775081972,-0.14172058715488953,0.2357612354133495,-0.30000000000000004,-0.30000000000000004,0.0674490759470226,-0.06471963184451672,0.0,0.008590086666418398,0.22374486572707597,low_connectivity,partial_correlation,60,residual,30,76,0.17471264367816092,0.02,0,5.066666666666666,0.4767589569091797,0.41029685735702515,1.141463279724121,0.09409714490175247,0.033862750977277756,0.01643996126949787,-0.001967603573575616,0.47368421052631576,0.5263157894736842,0.04456198215484619,0.01643996126949787,-0.001967603573575616,0.06339193436847643,0.20588235294117646,0.0013641579844803312,1.0,1,0.6730310320854187,0.057755544781684875,3.1201844215393066,0.32288146018981934,0.05680017173290253,0.28390741717140133,4,0.3,0.25555555555555554,greedy,0.4666666666666667,0.896551724137931,0.07419918477535248,0.03824011981487274,0.0,1.317622320405368,38.211047291755676,5.0,1.9333333333333333,14.0,0.4064248752776691,0.1585365853658537,0.45696231794713726,0.6138481030209187,0.5547008547008547,0.38615189697908125
2023-07-31,-0.37958559690763144,31.88262360444908,0.12971613366870283,2.104539534501278,4.599894829205855,-6.960262972089666,-0.14594686499447365,-0.0993904774248185,0.24956824507649486,-0.30000000000000004,-0.30000000000000004,0.0674490759470226,-0.10149976146647965,0.0,0.06881942995969668,0.18141475599492637,low_connectivity,partial_correlation,60,residual,30,79,0.18160919540229886,0.02,0,5.266666666666667,0.49584314227104187,0.4273054301738739,1.2894974946975708,0.09414741396903992,0.033276598900556564,0.017098037526011467,-0.0014519405085593462,0.46835443037974683,0.5316455696202531,0.04392028972506523,0.017098037526011467,-0.0014519405085593462,0.043810443497701246,0.1496437054631829,-0.028865661742935797,1.0,1,0.6858618855476379,0.06059383228421211,3.1388769149780273,0.3441486358642578,0.058869801461696625,0.27469910426739813,5,0.3,0.2177777777777778,greedy,0.4666666666666667,0.8620689655172413,0.08471179753541946,0.03934808447957039,0.0,1.308025705403295,37.93274545669556,5.0,1.9333333333333333,13.0,0.40850982837578803,0.2183908045977011,0.6064598047773986,0.7224214375294958,0.7234126984126984,0.27757856247050416
2023-08-01,-0.3353148975197248,33.835583349857764,0.1598419540229885,1.952959745408684,5.853094901811186,-3.0169748470717934,-0.15227076500038458,-0.08528044084812827,0.2657837494385744,-0.30000000000000004,-0.30000000000000004,0.0674490759470226,-0.05393677125366998,0.0,0.08385560793408421,0.13908464626277692,low_connectivity,partial_correlation,60,residual,30,80,0.1839080459770115,0.02,0,5.333333333333333,0.48587068915367126,0.45503267645835876,1.2287392616271973,0.0911007672548294,0.03267353028059006,0.016754161566495895,-0.002202307339757681,0.45,0.55,0.045152921229600906,0.016754161566495895,-0.002202307339757681,0.06913265601330781,0.22972972972972974,0.03501918345392591,1.0,1,0.7009309530258179,0.05123025178909302,3.1183035373687744,0.38500306010246277,0.058157019317150116,0.25662723381274677,6,0.23333333333333334,0.17555555555555558,greedy,0.4666666666666667,0.8275862068965517,0.0795363336801529,0.03875638544559479,0.0,1.3151943519197662,38.14063620567322,5.0,1.9333333333333333,11.0,0.4096869890688708,0.23333333333333328,0.6165675812531648,0.806766786236444,0.7682539682539682,0.19323321376355596
2023-08-02,-0.39914476057434695,31.039152572808952,0.11669658886894076,-2.796430777048812,-5.496756381272462,-1.8777036891459247,-0.1515369381598085,-0.08528044084812827,0.25278200863498324,-0.30000000000000004,-0.30000000000000004,0.0674490759470226,-0.053442517891155054,0.0,-0.010530704252187325,0.18141475599492637,low_connectivity,partial_correlation,60,residual,30,80,0.1839080459770115,0.02,0,5.333333333333333,0.48702794313430786,0.4153847098350525,1.2923007011413574,0.09131772816181183,0.032059162855148315,0.01679406501352787,-0.0023484835401177406,0.4375,0.5625,0.04466148093342781,0.01679406501352787,-0.0023484835401177406,0.06939579314211654,0.22869955156950672,-0.02595799488641419,1.0,1,0.6888484358787537,0.05747559294104576,3.1316428184509277,0.37344837188720703,0.05667639523744583,0.28141733527772794,5,0.3,0.22666666666666668,greedy,0.5333333333333333,0.8620689655172413,0.0808381512761116,0.03889079764485359,0.0,1.3137205017024074,38.09789454936981,5.0,1.9333333333333333,11.0,0.4095231756368131,0.13953488372093026,0.5933014354066986,0.7975638568876617,0.7158068783068784,0.20243614311233826
2023-08-03,-0.44933018835796884,28.93258681482281,0.09045226130653267,-2.106565757986143,-1.2135481728807385,-9.001732259093043,-0.1532049786690132,-0.0993904774248185,0.2704716264338715,-0.30000000000000004,-0.30000000000000004,0.035972840505078714,-0.043433923716107305,0.0,0.001170078250243061,0.13908464626277692,low_connectivity,partial_correlation,60,residual,30,79,0.18160919540229886,0.02,0,5.266666666666667,0.4843975603580475,0.4225408732891083,1.3572317361831665,0.09197421371936798,0.03476400673389435,0.01670336164534092,-0.002560045337304473,0.43037974683544306,0.569620253164557,0.04589366540312767,0.01670336164534092,-0.002560045337304473,0.07472430061292658,0.23755656108597284,-0.03704401785470004,0.9666666666666667,2,0.7052873969078064,1.2845824404195127e-09,3.107013702392578,0.38494613766670227,0.05895581841468811,0.2947370574785909,6,0.3,0.21111111111111114,greedy,0.4666666666666667,0.8275862068965517,0.08063288778066635,0.0388450026512146,0.0,1.3142939271598026,38.11452388763428,5.0,1.9333333333333333,12.0,0.3980565091573644,0.15116279069767447,0.8,0.8807142553259,0.8678571428571429,0.11928574467410002
