date,layer,window,return_type,number_of_nodes,number_of_edges,graph_density,alpha,n_excluded_nodes,average_degree,average_strength,median_strength,maximum_strength,edge_weight_mean,edge_weight_std,average_absolute_weight,average_signed_weight,positive_edge_ratio,negative_edge_ratio,centrality_concentration,avg_abs_partial_correlation,average_partial_correlation,average_clustering,global_transitivity,assortativity,largest_cc_share,n_connected_components,spectral_radius,algebraic_connectivity,laplacian_entropy,spectral_gap,eigenvalue_concentration,modularity,number_of_communities,largest_community_share,community_size_herfindahl,community_method,sector_purity,community_compression,market_mode_share,correlation_eigenvalue_concentration,negative_diversification,mst_length,mst_total_length,mst_max_degree,mst_mean_degree,mst_diameter,network_fragility,edge_turnover,community_ari,community_nmi,community_jaccard,community_turnover
2012-06-05,partial_correlation,60,residual,13,16,0.20512820512820512,0.02,17,2.4615384615384617,0.3156905174255371,0.2957986891269684,0.7165586352348328,0.12824927270412445,0.0404038242995739,0.026307545602321625,-0.012473350390791893,0.1875,0.8125,0.10676979273557663,0.026307545602321625,-0.012473350390791893,0.03573480044567457,0.08571428571428572,-0.033276066147330335,0.8461538461538461,3,0.44365939497947693,0.0,2.102466583251953,0.18706080317497253,0.14373676478862762,0.27272485912078887,4,0.46153846153846156,0.3727810650887574,greedy,0.5384615384615384,0.75,0.12338201701641083,0.08394497632980347,0.0,1.3353247443834941,16.02389693260193,4.0,1.8461538461538463,6.0,0.3860172813392093,,,,,
2012-06-06,partial_correlation,60,residual,13,16,0.20512820512820512,0.02,17,2.4615384615384617,0.32698529958724976,0.313903272151947,0.7397558093070984,0.13283775746822357,0.042280085384845734,0.027248768135905266,-0.010720492340624332,0.25,0.75,0.11000891029834747,0.027248768135905266,-0.010720492340624332,0.05975400103724106,0.16216216216216217,-0.12374237176225567,0.8461538461538461,3,0.46721673011779785,0.0,2.0795226097106934,0.1975969672203064,0.1467447578907013,0.223284530321851,4,0.46153846153846156,0.3727810650887574,greedy,0.5384615384615384,0.75,0.12588244676589966,0.08453232049942017,0.0,1.331774115562439,15.981289386749268,4.0,1.8461538461538463,6.0,0.38709698719346625,0.11764705882352944,1.0,1.0,1.0,0.0
2012-06-07,partial_correlation,60,residual,13,16,0.20512820512820512,0.02,17,2.4615384615384617,0.333992063999176,0.31203344464302063,0.7596298456192017,0.1356842815876007,0.044799257069826126,0.027832673862576485,-0.010812118649482727,0.25,0.75,0.10750601440668106,0.027832673862576485,-0.010812118649482727,0.036968981577719044,0.08823529411764706,-0.08120636405562795,0.9230769230769231,2,0.4722195267677307,0.0,2.117692708969116,0.19629627466201782,0.15043897926807404,0.27627114979447315,4,0.46153846153846156,0.33727810650887574,greedy,0.6153846153846154,0.75,0.12585395574569702,0.084721639752388,0.0,1.3305877447128296,15.967052936553955,4.0,1.8461538461538463,6.0,0.4119037142039364,0.2222222222222222,0.7264224473889321,0.8141475733381901,0.6875,0.1858524266618099
2012-06-08,partial_correlation,60,residual,13,16,0.20512820512820512,0.02,17,2.4615384615384617,0.3338446617126465,0.31094443798065186,0.7566847801208496,0.13562437891960144,0.04512239620089531,0.027820385992527008,-0.010628948919475079,0.25,0.75,0.10747726261615753,0.027820385992527008,-0.010628948919475079,0.03695804277123381,0.08823529411764706,-0.0843517228000868,0.9230769230769231,2,0.47215381264686584,3.725290076417309e-09,2.1177074909210205,0.19566887617111206,0.1502535492181778,0.27754848048406505,4,0.46153846153846156,0.33727810650887574,greedy,0.6153846153846154,0.75,0.12622295320034027,0.08474281430244446,0.0,1.3297622601191204,15.957147121429443,4.0,1.8461538461538463,6.0,0.4118941302737619,0.0,1.0,1.0,1.0,0.0
2012-06-11,partial_correlation,60,residual,13,15,0.19230769230769232,0.02,17,2.3076923076923075,0.3006393611431122,0.2856706380844116,0.7348660230636597,0.13027705252170563,0.03994722291827202,0.025053279474377632,-0.00934907328337431,0.26666666666666666,0.7333333333333333,0.11409936845302582,0.025053279474377632,-0.00934907328337431,0.0356639798626487,0.09375,-0.22933283415125538,0.8461538461538461,3,0.4419229030609131,5.551115123125783e-17,2.056302785873413,0.18417146801948547,0.15766789019107819,0.25358343737171796,4,0.46153846153846156,0.3727810650887574,greedy,0.6153846153846154,0.75,0.12430485337972641,0.08407743275165558,0.0,1.335243175427119,16.022918105125427,4.0,1.8461538461538463,6.0,0.3841869689715214,0.0625,0.848012470771629,0.871286097439314,0.825,0.12871390256068604
2012-06-12,partial_correlation,60,residual,13,15,0.19230769230769232,0.02,17,2.3076923076923075,0.30011141300201416,0.2839171290397644,0.7334305644035339,0.1300482600927353,0.03971166908740997,0.025009281933307648,-0.00937343668192625,0.26666666666666666,0.7333333333333333,0.11407633125782013,0.025009281933307648,-0.00937343668192625,0.035656681305909835,0.09375,-0.22631947494807858,0.8461538461538461,3,0.44130823016166687,0.0,2.056454658508301,0.1847691535949707,0.15756464004516602,0.25387499828580656,4,0.46153846153846156,0.3727810650887574,greedy,0.6153846153846154,0.75,0.12403853237628937,0.08402007073163986,0.0,1.3356148302555084,16.0273779630661,4.0,1.8461538461538463,6.0,0.38417928990645284,0.0,1.0,1.0,1.0,0.0
2012-06-13,partial_correlation,60,residual,13,15,0.19230769230769232,0.02,17,2.3076923076923075,0.3042088747024536,0.28809693455696106,0.738962709903717,0.1318238377571106,0.03911077231168747,0.02535073645412922,-0.009370652958750725,0.26666666666666666,0.7333333333333333,0.1174207404255867,0.02535073645412922,-0.009370652958750725,0.06460817164660138,0.17142857142857143,-0.26675041965966495,0.7692307692307693,4,0.4561711549758911,0.0,2.0121591091156006,0.19850733876228333,0.16298264265060425,0.20080000086135794,5,0.46153846153846156,0.32544378698224846,greedy,0.6153846153846154,0.6666666666666667,0.12381882220506668,0.08402393758296967,0.0,1.3346598049004872,16.015917658805847,4.0,1.8461538461538463,6.0,0.35965306732134944,0.125,0.8770685579196218,0.9208103791932082,0.95,0.07918962080679182
2012-06-14,partial_correlation,60,residual,13,15,0.19230769230769232,0.02,17,2.3076923076923075,0.2949841618537903,0.29827940464019775,0.7373979687690735,0.12782646715641022,0.03678179159760475,0.024582013487815857,-0.008719434961676598,0.26666666666666666,0.7333333333333333,0.12211143970489502,0.024582013487815857,-0.008719434961676598,0.05475425203300314,0.16216216216216217,-0.29393333269671285,0.7692307692307693,4,0.456137478351593,-5.551115123125783e-17,1.9967094659805298,0.2416657954454422,0.1621979922056198,0.16172408282335854,6,0.38461538461538464,0.24260355029585803,greedy,0.6153846153846154,0.5833333333333333,0.12393287569284439,0.08377928286790848,0.0,1.3327754537264507,15.993305444717407,4.0,1.8461538461538463,6.0,0.36121663374778556,0.125,0.453781512605042,0.7724478998619768,0.8642857142857142,0.22755210013802318
2012-06-15,partial_correlation,60,residual,13,15,0.19230769230769232,0.02,17,2.3076923076923075,0.28588852286338806,0.28620094060897827,0.6401099562644958,0.12388502806425095,0.03720167651772499,0.023824043571949005,-0.00879315473139286,0.26666666666666666,0.7333333333333333,0.11126241832971573,0.023824043571949005,-0.00879315473139286,0.07531339500508645,0.1875,-0.0376320385960098,0.8461538461538461,3,0.4185335636138916,0.0,2.064227342605591,0.21403729915618896,0.13245952129364014,0.23605311383634003,6,0.23076923076923078,0.19526627218934917,greedy,0.6153846153846154,0.5833333333333333,0.12340258806943893,0.08341467380523682,0.0,1.333787610133489,16.005451321601868,4.0,1.8461538461538463,6.0,0.383241318930418,0.33333333333333337,0.314070351758794,0.7220072723831568,0.7111111111111111,0.27799272761684324
2012-06-18,partial_correlation,60,residual,13,16,0.20512820512820512,0.02,17,2.4615384615384617,0.30352890491485596,0.24659374356269836,0.7272204160690308,0.12330862134695053,0.036383047699928284,0.025294076651334763,-0.008091042749583721,0.3125,0.6875,0.11187101155519485,0.025294076651334763,-0.008091042749583721,0.10853247717268773,0.23684210526315788,-0.11528348247272797,0.9230769230769231,2,0.44624367356300354,0.0,2.099731922149658,0.24194437265396118,0.1296921968460083,0.25312414283686574,5,0.3076923076923077,0.2307692307692308,greedy,0.6153846153846154,0.6666666666666667,0.12484066188335419,0.08362872898578644,0.0,1.3315289616584778,15.978347539901733,4.0,1.8461538461538463,8.0,0.41335871325344103,0.17647058823529416,0.6440677966101694,0.855140258398641,0.763888888888889,0.14485974160135895
