horizon,var_95_mean,var_99_mean,expected_shortfall_95_mean,expected_shortfall_99_mean,predicted_max_drawdown_mean,realized_max_drawdown_mean,95_var_exceedance_rate,95_kupiec_lr,95_kupiec_pvalue,95_christoffersen_independence_lr,95_christoffersen_independence_pvalue,99_var_exceedance_rate,99_kupiec_lr,99_kupiec_pvalue,99_christoffersen_independence_lr,99_christoffersen_independence_pvalue
1,-0.01933131921537031,-0.029072201138966084,-0.025216536297305872,-0.03663963836405623,-0.006935053709917339,-0.0040368290416197385,0.04995836802664446,4.3834657611530986e-05,0.9947174246806594,1.3307166752078115,0.24867776054801205,0.01582014987510408,3.491749589156099,0.06167537023112368,0.6113860831503819,0.4342664021759186
5,-0.04216408953500988,-0.06397021977748168,-0.05541106807459235,-0.0809108338847442,-0.03139991132245357,-0.018148362228066345,0.14870509607351712,164.4439098531566,0.0,190.28669275887833,0.0,0.06015037593984962,141.4074404218588,0.0,119.08407762799257,0.0
10,-0.04878070513591168,-0.07964796467958384,-0.06749730926030145,-0.10362793392050827,-0.05160127816420394,-0.030876296812254848,0.2214765100671141,120.96244957016717,0.0,453.9088588405471,0.0,0.09983221476510067,343.4799793140994,0.0,272.6006116118792,0.0
20,-0.07558019828730134,-0.11929809350869432,-0.10208888581275764,-0.15326138659610666,-0.0638789399172079,-0.05000526971699103,0.13451776649746192,124.07977075843209,0.0,538.844555974572,0.0,0.06937394247038917,181.59161526957698,0.0,336.44116493908,0.0
40,-0.10914916075655846,-0.17121109233477688,-0.14640071433727334,-0.2180620714401055,-0.11346723677966684,-0.07738546613839642,0.13769363166953527,130.07248023579788,0.0,584.1425388525156,0.0,0.07056798623063683,184.09103740724615,0.0,436.39697315706087,0.0
60,-0.22317306095105457,-0.29912198862986855,-0.26886218097943115,-0.35645635662754566,-0.21747088309182136,-0.09822476451275858,0.19964973730297722,239.74183196459626,0.0,891.3543282924502,0.0,0.13222416812609458,489.4366583033283,0.0,721.0905904786259,0.0
