level,coverage,coverage_error,average_width,normalized_width,interval_score,winkler_score,horizon,method,crps
0.5,0.5212323064113239,0.021232306411323898,0.014749990611992697,1.7555095327029921,0.028823050076776824,0.028823050076776824,1,EGARCH Student-t conditional,0.006434946144346704
0.8,0.8043297252289758,0.004329725228975789,0.028831213741344848,3.4314239170549947,0.04287992967059532,0.04287992967059532,1,EGARCH Student-t conditional,0.006434946144346704
0.9,0.9009159034138218,0.0009159034138217503,0.03797176333679681,4.519310843295727,0.0534066450112234,0.0534066450112234,1,EGARCH Student-t conditional,0.006434946144346704
0.95,0.9450457951706911,-0.004954204829308861,0.04653148323335519,5.5380687714165795,0.06537539621850962,0.06537539621850962,1,EGARCH Student-t conditional,0.006434946144346704
0.5,0.30994152046783624,-0.19005847953216376,0.03301961966926479,1.5660644669761936,0.09610129090805186,0.09610129090805186,5,EGARCH Student-t conditional,0.021482631382053495
0.8,0.5898078529657477,-0.21019214703425237,0.06454212327216355,3.061123262234812,0.1395304024344905,0.1395304024344905,5,EGARCH Student-t conditional,0.021482631382053495
0.9,0.7435254803675856,-0.15647451963241443,0.08500433773381068,4.031611332812442,0.17514554195764312,0.17514554195764312,5,EGARCH Student-t conditional,0.021482631382053495
0.95,0.8395989974937343,-0.11040100250626561,0.10416629538482045,4.940430431745971,0.217065455093842,0.217065455093842,5,EGARCH Student-t conditional,0.021482631382053495
0.5,0.311241610738255,-0.18875838926174499,0.046740304631373505,1.514030791998257,0.13745715668861333,0.13745715668861333,10,EGARCH Student-t conditional,0.03081175821057085
0.8,0.5738255033557047,-0.22617449664429534,0.09136139463485697,2.9594151293620494,0.20342650416047453,0.20342650416047453,10,EGARCH Student-t conditional,0.03081175821057085
0.9,0.712248322147651,-0.18775167785234903,0.12032629934755797,3.8976580006523824,0.25703758796877196,0.25703758796877196,10,EGARCH Student-t conditional,0.03081175821057085
0.95,0.8187919463087249,-0.13120805369127508,0.1474506498674202,4.776280898468498,0.3181630140591474,0.3181630140591474,10,EGARCH Student-t conditional,0.03081175821057085
0.5,0.3934010152284264,-0.10659898477157359,0.06619919522169812,1.511642394544349,0.16757324855886346,0.16757324855886346,20,EGARCH Student-t conditional,0.037796214469961675
0.8,0.6658206429780034,-0.13417935702199668,0.1293969058793824,2.954746624865719,0.25223540684059537,0.25223540684059537,20,EGARCH Student-t conditional,0.037796214469961675
0.9,0.7851099830795262,-0.11489001692047385,0.17042045925106766,3.8915094094254656,0.32425037634428244,0.32425037634428244,20,EGARCH Student-t conditional,0.037796214469961675
0.95,0.8629441624365483,-0.0870558375634517,0.20883720020916705,4.768746271565701,0.41092263081415364,0.41092263081415364,20,EGARCH Student-t conditional,0.037796214469961675
0.5,0.35628227194492257,-0.14371772805507743,0.09397638892669549,1.5260177328304927,0.25991968191536047,0.25991968191536047,40,EGARCH Student-t conditional,0.05842936379680948
0.8,0.6204819277108434,-0.17951807228915662,0.1836918698498933,2.9828455207656908,0.39573127823171905,0.39573127823171905,40,EGARCH Student-t conditional,0.05842936379680948
0.9,0.7487091222030982,-0.15129087779690187,0.24192891327468877,3.9285166833720693,0.5194490861283146,0.5194490861283146,40,EGARCH Student-t conditional,0.05842936379680948
0.95,0.8278829604130808,-0.12211703958691911,0.29646532534863984,4.8140958470353725,0.6754054223909319,0.6754054223909319,40,EGARCH Student-t conditional,0.05842936379680948
0.5,0.07180385288966724,-0.42819614711033277,0.11500457340929228,1.5722905619827647,0.8266820121029885,0.8266820121029885,60,EGARCH Student-t conditional,0.1902201021288506
0.8,0.20490367775831875,-0.5950963222416813,0.22479481678446586,3.073293159872741,1.5421676481143798,1.5421676481143798,60,EGARCH Student-t conditional,0.1902201021288506
0.9,0.28458844133099825,-0.6154115586690018,0.2960629982093907,4.047639533258191,2.4242092746129935,2.4242092746129935,60,EGARCH Student-t conditional,0.1902201021288506
0.95,0.3712784588441331,-0.5787215411558668,0.3628024939217703,4.9600717619019346,3.8040775138139544,3.8040775138139544,60,EGARCH Student-t conditional,0.1902201021288506
