trial,fold,horizon,score,pinball_ratio,mae_ratio,brier_ratio,mdd_pinball_ratio,vol_mae_ratio,coverage_penalty,width_ratio
0,0,5,0.9735954730619554,1.024297609555033,1.1680664436916401,0.9811055580436544,1.1848686423559276,0.9487288184799038,0.04047619047619044,0.5759665974228988
0,0,20,0.8918154060016421,0.8716726160839348,1.113651705698972,1.0627836761007536,0.9904635557954103,0.8876747223943067,0.08412698412698405,0.5679596201558339
0,0,60,0.9109664241696318,1.031129232358718,1.5509039566818192,0.9062887571986972,0.6569810204097248,0.6660112274747452,0.02063492063492056,0.49665218362084634
0,1,5,0.8379154578014212,0.9016531181588546,1.03916613935697,1.042315920359235,0.901855674234695,0.4852067605682314,0.08809523809523812,0.6716287876565777
0,1,20,0.6802202721195156,0.7656582000505839,0.9361722144501828,0.6771832792670197,0.6755400572771415,0.44492562439350974,0.09206349206349207,0.59895208562881
0,1,60,0.6096927048100171,0.6670675691095502,0.7884554594682206,0.6789729899055751,0.495449351706328,0.6017759156704853,0.06428571428571428,0.5703264630869213
1,0,5,0.880595997902384,0.9720035368001378,1.095132449104912,0.9938831733085475,0.8213157433276542,0.8806136396624612,0.0031746031746031633,0.5187156324233427
1,0,20,0.8430887383003806,0.9121942604381836,1.1715568318952936,0.8927896744654276,0.6595489324943128,1.0113452879013003,0.004761904761904745,0.4589523065099244
1,0,60,0.7216762769519456,0.8058018853266076,1.0827029367268164,0.6101764237987131,0.5627749601880785,0.8346645622739878,0.04841269841269835,0.48140412881013706
1,1,5,0.6748943502688134,0.7845683876150019,0.9259010254925187,0.7875291003407288,0.5391469811549021,0.44166007779709654,0.052380952380952306,0.4858724702987928
1,1,20,0.5373710359932091,0.6722911793177649,0.7833084940534979,0.5083305814727925,0.3502612696548852,0.41822372220821175,0.02063492063492056,0.41724182631831347
1,1,60,0.4862764965767141,0.6435258911877756,0.7277540670399529,0.25,0.29464728998612566,0.5425086572684977,0.058730158730158744,0.3940084756373348
2,0,5,0.8907481130700806,0.9576730099451598,1.099325033763141,1.0175769052723302,0.8867854126804469,0.8380414818953255,0.0444444444444444,0.6031399177081144
2,0,20,1.2239161319803216,1.3317879685187475,1.7673452546796382,1.2294355129487777,1.1193205014513372,1.2008289768213827,0.07857142857142863,0.4930751651552927
2,0,60,1.251065461639773,1.2737530123504546,2.13160273701056,1.3241194765412458,1.0778187821581455,1.063116098196276,0.06428571428571428,0.4803049380331279
2,1,5,0.8575473388845906,0.9495620095879286,1.169929343012273,1.2896308113271235,0.6285232118630723,0.47704197059240594,0.011111111111111183,0.450205192047565
2,1,20,0.9495307191906615,1.270699237265479,1.4284300099767822,0.9486670102529556,0.32954903075350417,0.6029022921110924,0.43174603174603177,0.2758875688975348
2,1,60,0.9481160474542214,1.4784989244675224,1.3078874085224903,0.5299137813772075,0.26823628591839127,0.6562469140676414,0.5944444444444444,0.25
3,0,5,0.9216382631355583,0.9865347942724172,1.1364151121575918,0.979385135829023,0.9350085387878972,0.9546074465837838,0.04841269841269835,0.6626711192256074
3,0,20,0.8813047681918061,1.050887002751523,1.1064300476748736,0.986743504790165,0.6503258213658779,0.7376763042041702,0.09603174603174602,0.7159852837165508
3,0,60,0.672531040338997,0.7848481778386291,0.6882752531552654,0.904742530227118,0.4846806428630736,0.5885167565534207,0.09999999999999998,0.6775912834438749
3,1,5,0.8272000276470587,0.9741746985307167,1.228870129206225,0.8053818145424059,0.8256573966943573,0.4322230939874754,0.0071428571428571175,0.45100575653707303
3,1,20,0.7608300909633858,0.9150108626071312,1.1653362936090226,0.67206610073949,0.5559545762007329,0.6516161562425696,0.030952380952380953,0.474815372585982
3,1,60,0.6244131255291512,0.7853362430574065,0.8872396321683429,0.39785665787026164,0.4359283645081986,0.7263519069302031,0.012698412698412653,0.5955887565043106
4,0,5,0.8541583500581255,0.9315359140503985,1.048486269596811,0.9800496621852862,0.8565186964583197,0.7452159725232783,0.03650793650793649,0.6095144365513347
4,0,20,0.825622335942762,0.8307680691851071,1.041221673833009,0.9904883311959493,0.8826452293633059,0.751065996846446,0.0801587301587301,0.5660838591126399
4,0,60,0.7834512325689758,0.8392595144501439,1.3058012138941586,0.862994225773638,0.4973006589042766,0.6661198591330642,0.09999999999999998,0.5394667270769331
4,1,5,0.8203140064347065,0.9078815128889297,1.0780659613947812,0.8521786784144045,0.9681226036409156,0.500330347151347,0.012698412698412653,0.5626155600680782
4,1,20,0.722332695535342,0.8074639480435962,0.9947369978163111,0.6920203297972893,0.6620176559830031,0.664083292504257,0.060317460317460325,0.5591171569314913
4,1,60,0.6203377623832192,0.7550565485029183,0.8695314717326628,0.4341491226623263,0.5290248783346413,0.6604163133841897,0.0007936507936507908,0.5021654201259604
5,0,5,0.8453043754812126,0.925961648050939,1.0177223231741777,1.001934874254926,0.8183265916587777,0.7870867270794288,0.016666666666666607,0.5214963641864081
5,0,20,0.8342301721228669,0.9154786679302689,1.0177135759832718,0.934611829554795,0.6980922419859862,0.8751775081337518,0.09603174603174602,0.733667272768914
5,0,60,0.8189366400376066,0.8417873979886993,1.2619361317810796,0.9914595600422933,0.6632776042975228,0.6558617657093782,0.07222222222222219,0.5389441398978062
5,1,5,0.793246646290711,0.9341691757619415,1.064335898741291,0.8288705665469693,0.822222574731907,0.40688113282421373,0.024603174603174627,0.5520914422120935
5,1,20,0.6760771542378545,0.8397707223117937,1.0148026325606274,0.7284912836165114,0.47345576005878565,0.3489307901546532,0.0007936507936507908,0.4898771807439024
5,1,60,0.591150004203618,0.7750160357480259,0.80790604038457,0.5011226277727997,0.3320005889669207,0.5335076546210167,0.0626984126984127,0.5333449590724905
6,0,5,0.8479985931719615,0.8780886587288131,0.9742290857251974,0.9672284551604159,0.8796106592804986,0.9911939427367648,0.032539682539682535,0.5370053513501958
6,0,20,0.7834357317884726,0.7534933001249244,0.961705582861993,0.9747592708223466,0.6632078915459056,1.1194317620943786,0.04841269841269835,0.4810033287295165
6,0,60,0.6445034698359366,0.5761930702775233,0.748263850623692,0.9210167980931759,0.5152984139436433,0.9365105565042793,0.09999999999999998,0.4832660063099607
6,1,5,0.7638859610420422,0.839421436461419,1.0084844605854102,0.9538565120050758,0.7041522387795047,0.5423976695593199,0.024603174603174627,0.4717495798964276
6,1,20,0.6716519856060655,0.7713154612468489,0.8932433961328483,0.8719874629803662,0.43408049569226625,0.5843763571291027,0.015079365079365137,0.41005598934601567
6,1,60,0.7243873264505105,0.9090858725236899,0.9690382956993003,0.7508276217878983,0.3785114062026801,0.657325926501467,0.2134920634920635,0.3591211806382029
7,0,5,0.9594328144100035,0.9928853617281267,1.1347265714370316,0.9841982670822903,0.8965529310735975,1.3670402880456145,0.04047619047619044,0.6687970076108806
