replication,old_rmse,new_rmse,old_mae,new_mae,brier_score,coverage_95,old_coverage_95,coverage_improvement,interval_score_95,old_interval_score_95,interval_score_change,var_exceedance_95,expected_shortfall_calibration_error,drawdown_probability_5,rmse_difference_new_minus_old,mae_difference_new_minus_old
0,0.06011734136635248,0.050785936107647894,0.046778149096106295,0.037674826840018334,0.6539425063987025,0.9661590524534687,0.8730964467005076,0.0930626057529611,0.3249698183569171,0.3242559817634975,0.000713836593419559,0.03637901861252115,-0.04461612557367434,0.30710659898477155,-0.009331405258704586,-0.00910332225608796
1,0.06417876335683043,0.056037886641161105,0.04868659654673726,0.04148914536192736,0.6621059341269427,0.9670050761421319,0.8950930626057529,0.071912013536379,0.33995012734354446,0.390348816067213,-0.05039868872366854,0.032148900169204735,-0.04425044220902785,0.36717428087986465,-0.00814087671566932,-0.007197451184809897
2,0.06470062663780306,0.0587522236983693,0.050202280198307414,0.0461128096401252,0.6283578137505411,0.9619289340101523,0.8993231810490694,0.06260575296108295,0.3456032364302828,0.36945398591895473,-0.02385074948867194,0.025380710659898477,-0.06787487950909472,0.28849407783417935,-0.005948402939433758,-0.0040894705581822136
3,0.07118651854031852,0.0545877397013571,0.05289320544930858,0.04122538664134891,0.6612211832331428,0.9636209813874789,0.8443316412859561,0.11928934010152281,0.3236388468343634,0.4161086658859757,-0.09246981905161233,0.0338409475465313,-0.06011970404803384,0.38155668358714045,-0.016598778838961416,-0.011667818807959675
4,0.07078266906960715,0.05342348627022686,0.053111195410818615,0.040287035968996965,0.6517799963293881,0.9483925549915397,0.8587140439932318,0.08967851099830793,0.34278807374085196,0.42291161931706134,-0.08012354557620938,0.05414551607445008,-0.05462094437770813,0.2961082910321489,-0.017359182799380285,-0.01282415944182165
5,0.06330436970105448,0.05292139242568309,0.048679857739324144,0.03971226806608225,0.6634588858980567,0.9686971235194586,0.871404399323181,0.09729272419627755,0.31012692915803347,0.36179736222944825,-0.05167043307141478,0.025380710659898477,-0.040845360798584585,0.3062605752961083,-0.010382977275371387,-0.00896758967324189
6,0.06930444291279635,0.057892377621619195,0.05293290507155498,0.043557585219680936,0.6419232450045745,0.9560067681895094,0.8494077834179357,0.1065989847715737,0.35611975809903124,0.4438955580990923,-0.08777580000006108,0.04060913705583756,-0.05316177543246525,0.4120135363790186,-0.01141206529117715,-0.009375319851874044
7,0.06622796318166976,0.0562473433672503,0.05075686440067807,0.04278398737663576,0.6748298337180866,0.9619289340101523,0.8654822335025381,0.09644670050761428,0.3590927913011244,0.4165081471707047,-0.0574153558695803,0.04230118443316413,-0.04992332889963422,0.41878172588832485,-0.009980619814419465,-0.007972877024042313
8,0.07185000706507536,0.05821434973034418,0.05251516413804988,0.043136078827860996,0.6605655694139272,0.9247038917089678,0.8248730964467005,0.09983079526226735,0.37269011302588484,0.4767218706547204,-0.10403175762883554,0.07529610829103214,-0.0292274609231373,0.3392554991539763,-0.013635657334731176,-0.009379085310188884
9,0.0647671791105602,0.05668474307173082,0.04939069970611319,0.042292028634870714,0.6189190311818747,0.9636209813874789,0.8815566835871405,0.08206429780033841,0.3572321371847302,0.39461635889319024,-0.037384221708460064,0.03722504230118443,-0.04835727540576645,0.2859560067681895,-0.008082436038829376,-0.007098671071242478
10,0.06164166721827232,0.05593277653393898,0.04752404496311277,0.04399207401943733,0.6411378836990429,0.9712351945854484,0.9027072758037225,0.06852791878172593,0.3338769471585973,0.33034383844148896,0.003533108717108324,0.02622673434856176,-0.07835877230025644,0.4517766497461929,-0.005708890684333341,-0.0035319709436754387
11,0.06391993573597454,0.0518992722416588,0.04772124687072529,0.03837188241298573,0.6515193888791017,0.9670050761421319,0.8663282571912013,0.10067681895093061,0.32321398566266274,0.3906140742200388,-0.06740008855737606,0.0338409475465313,-0.048296565221349924,0.31049069373942473,-0.012020663494315742,-0.00934936445773956
12,0.06819569082639254,0.06439227022155293,0.05299545976967258,0.048719455428669144,0.6835065124436273,0.9416243654822335,0.8299492385786802,0.1116751269035533,0.36631321804821737,0.452611068913732,-0.08629785086551461,0.05414551607445008,-0.025629077993554877,0.4306260575296108,-0.0038034206048396108,-0.004276004341003434
13,0.07643680061987453,0.06399150400087546,0.0575948223982492,0.047728176447982315,0.6740673079874138,0.9153976311336718,0.8248730964467005,0.0905245346869713,0.3963018633333005,0.5440976209451933,-0.14779575761189284,0.08206429780033841,-0.019714545934876232,0.35617597292724196,-0.012445296618999069,-0.009866645950266886
14,0.06571974388530764,0.05191743929092435,0.05191275798126922,0.04014966049430422,0.6780005259135526,0.9796954314720813,0.8316412859560067,0.14805414551607454,0.29381154417517946,0.3711413346443792,-0.07732979046919974,0.021150592216582064,-0.04491647703804577,0.33417935702199664,-0.013802304594383294,-0.011763097486965003
15,0.06625298589936689,0.055858137077075196,0.04923108706471207,0.04168483460016099,0.6535534454513923,0.9534686971235194,0.8587140439932318,0.09475465313028764,0.3465197894417204,0.4116937683902791,-0.0651739789485587,0.04483925549915398,-0.05006240888813748,0.35786802030456855,-0.010394848822291691,-0.0075462524645510815
16,0.07567736403204384,0.06390387379658435,0.05784681374158286,0.048545167821876685,0.6834321050915307,0.9390862944162437,0.8451776649746193,0.09390862944162437,0.38850695387620154,0.4863737291299262,-0.09786677525372467,0.06260575296108291,-0.04852797206119511,0.46615905245346867,-0.011773490235459483,-0.009301645919706177
17,0.06184155225857762,0.0512658957350969,0.04890414195819873,0.03959177713254154,0.6384503352180214,0.9796954314720813,0.8959390862944162,0.08375634517766506,0.3286482730482696,0.33472018707463397,-0.006071914026364367,0.02030456852791878,-0.07147364227611341,0.31049069373942473,-0.01057565652348072,-0.009312364825657185
18,0.07158956712037746,0.06369465146820719,0.05525802008033702,0.047920175391180105,0.6831326078534158,0.9467005076142132,0.8367174280879864,0.10998307952622677,0.39183633238091287,0.4720086009513492,-0.08017226857043636,0.05752961082910321,-0.04612152123378502,0.461082910321489,-0.007894915652170278,-0.007337844689156915
19,0.06212412194831604,0.05345898884427012,0.045345812979155166,0.0379205903201834,0.6310455730590951,0.9458544839255499,0.8874788494077834,0.058375634517766506,0.3619237518907998,0.40288179277294334,-0.040958040882143554,0.05499153976311337,-0.026447257603557206,0.2622673434856176,-0.008665133104045923,-0.007425222658971768
20,0.06618712647699317,0.05994142422867149,0.05099155438109014,0.044698859554980125,0.6837128035037763,0.9458544839255499,0.8333333333333334,0.11252115059221657,0.36283186586501204,0.4546918685768857,-0.09186000271187367,0.0583756345177665,-0.026365912246658768,0.43316412859560066,-0.0062457022483216745,-0.006292694826110015
21,0.06360527124879682,0.05386427893050686,0.049464786614525184,0.041444460765035454,0.6934811441075106,0.9788494077834179,0.8756345177664975,0.10321489001692041,0.31304335213402296,0.34144940685852965,-0.02840605472450669,0.021996615905245348,-0.062345262498919266,0.4543147208121827,-0.00974099231828996,-0.00802032584948973
22,0.07088012047460732,0.05676494942144981,0.053287187275472284,0.0414454576883661,0.6672435563170027,0.9517766497461929,0.8595600676818951,0.09221658206429784,0.36170159131991253,0.44000902329006303,-0.0783074319701505,0.051607445008460234,-0.0558000891077558,0.4069373942470389,-0.014115171053157509,-0.011841729587106185
23,0.076069675935911,0.06700794960969682,0.05806152810506663,0.04900512121136037,0.6678124849709322,0.8815566835871405,0.8206429780033841,0.060913705583756306,0.45663423365857164,0.5585501731382884,-0.10191593947971672,0.1218274111675127,-0.0274728886097044,0.47377326565143824,-0.009061726326214187,-0.009056406893706258
