batch,paths,probability_negative,probability_mdd_3,probability_mdd_5,probability_mdd_7,probability_mdd_10,max_probability_mcse,var_95,var_99,median_terminal_return,quantile_max_change,stable,stable_batches
1,2000,0.4135,0.687,0.364,0.164,0.0395,0.011011760758389187,-0.07655503384298203,-0.12532390084474213,0.012057390956349586,inf,False,0
2,4000,0.4035,0.683,0.35225,0.15975,0.0385,0.007757057270640717,-0.07402091321145164,-0.11559898991446599,0.013449150245488414,0.009724910930276137,False,0
3,6000,0.3975,0.679,0.3466666666666667,0.15466666666666667,0.0365,0.00631788136957319,-0.07362052353346092,-0.11386053183309543,0.014623242992348302,0.0017384580813705613,False,0
4,8000,0.39575,0.680875,0.34925,0.15125,0.03675,0.00546731123931133,-0.07355989806310714,-0.11224295332566299,0.014391681468918366,0.0016175785074324378,False,0
5,10000,0.3981,0.6827,0.35,0.1538,0.0367,0.004895062716656447,-0.07393114492948002,-0.11226252083356865,0.014143904764531673,0.00037124686637288185,False,0
6,12000,0.39758333333333334,0.67975,0.34975,0.15458333333333332,0.036833333333333336,0.004467576024244848,-0.0740758422212533,-0.11250619930623681,0.014161001776409131,0.00024367847266816567,False,0
7,14000,0.3964285714285714,0.6800714285714285,0.34814285714285714,0.15464285714285714,0.03628571428571428,0.0041341172765146225,-0.07389898757492391,-0.11265768811943837,0.014284814035624618,0.00017685464632938297,False,0
8,16000,0.39725,0.679875,0.3486875,0.156625,0.0369375,0.0038684819172060247,-0.07421788365557137,-0.11327897620950023,0.014319949365860674,0.0006212880900618584,False,0
9,18000,0.39766666666666667,0.6801111111111111,0.3498888888888889,0.15705555555555556,0.03705555555555556,0.0036478904778339503,-0.07468065999305487,-0.11437731162839711,0.014162615337939197,0.0010983354188968814,False,0
10,20000,0.39715,0.68035,0.3511,0.1583,0.03735,0.003459926859776085,-0.07476827776049291,-0.11462429573631469,0.014162615337939197,0.0002469841079175833,False,0
11,22000,0.3956818181818182,0.6799090909090909,0.35059090909090906,0.15827272727272726,0.037409090909090906,0.0032968146950858542,-0.0752527348501789,-0.11549796748510278,0.014395980053011532,0.0008736717487880935,False,0
12,24000,0.39508333333333334,0.6790833333333334,0.349625,0.15866666666666668,0.03775,0.0031556331447082824,-0.0755626487800893,-0.11580533968749564,0.014569748428228125,0.0003099139299103937,False,0
13,26000,0.39415384615384613,0.6783846153846154,0.3493076923076923,0.15880769230769232,0.03776923076923077,0.00303059141039638,-0.07562312037754375,-0.11608014112222374,0.014570217854852623,0.0002748014347281058,False,0
14,28000,0.39421428571428574,0.6786785714285715,0.3497857142857143,0.15857142857142856,0.037392857142857144,0.002920429167660742,-0.07550867697837102,-0.11608014112222374,0.01451524486789629,0.00011444339917272839,False,0
15,30000,0.3948,0.6789,0.3500333333333333,0.1585,0.037766666666666664,0.0028221325270086093,-0.07562312037754375,-0.11596776611818127,0.014366323120287081,0.0001489217476092087,False,0
16,32000,0.39634375,0.6800625,0.35053125,0.15821875,0.03778125,0.002734361110455795,-0.0756995040465689,-0.11596776611818127,0.014197055528261858,0.00016926759202522297,False,0
17,34000,0.3973529411764706,0.6801764705882353,0.35041176470588237,0.159,0.03770588235294118,0.002653873868378289,-0.07579298774716754,-0.11648803006729046,0.01409365922009426,0.000520263949109187,False,0
18,36000,0.3971388888888889,0.6791666666666667,0.34952777777777777,0.15891666666666668,0.03758333333333334,0.002578864908685536,-0.07581877562665582,-0.11594668021894206,0.014232141541768774,0.0005413498483484019,False,0
19,38000,0.39752631578947367,0.6788947368421052,0.35026315789473683,0.15863157894736843,0.03768421052631579,0.0025104997617601816,-0.07591338466601089,-0.11556579448072075,0.01418180277093024,0.000380885738221301,False,0
20,40000,0.396625,0.678125,0.3503,0.158675,0.0378,0.002445984512292545,-0.07591579519403109,-0.1154974224780565,0.014264959328617469,8.315655768722889e-05,True,1
