head,candidate,validation_roc_auc,validation_average_precision,validation_prevalence,threshold,validation_precision,validation_recall,eligible,probability_calibration,selected,test_precision,test_recall
tail_vs_non_tail,class_weighted_rf,0.4357660455486542,0.1864558806167635,0.2219873150105708,1.0,0.0,0.0,False,sigmoid,False,,
tail_vs_non_tail,balanced_block_weighting,0.4248706004140787,0.18210908245783253,0.2219873150105708,1.0,0.0,0.0,False,sigmoid,False,,
tail_vs_non_tail,regime_aware_weighting,0.511723602484472,0.2098993763594726,0.2219873150105708,0.19826432849148276,0.25,0.8857142857142857,False,sigmoid,True,0.20317460317460317,0.7032967032967034
bear_vs_stress,class_weighted_rf,0.29118773946360155,0.7604523861019403,0.8529411764705882,0.5087015717574284,0.8529411764705882,1.0,False,sigmoid,False,0.7908745247148289,0.9541284403669725
bull_vs_sideway,class_weighted_rf,0.5237400214464435,0.41734231525799864,0.41397849462365593,0.3960724248188557,0.41397849462365593,1.0,False,sigmoid,False,0.3687150837988827,0.9620991253644315
