horizon,component,rmse_return,directional_accuracy,brier_score,macro_f1,jackknife_attached
40,soft-gated RF,0.10825723021521488,0.48881239242685026,0.7817442486318734,0.24627322967121248,False
40,Student-t Monte Carlo,0.10134804168567575,0.4509466437177281,0.6342220706250611,0.23551758642893522,False
40,regime block bootstrap,0.10134804168567575,0.4509466437177281,0.6342220706250611,0.23551758642893522,False
40,hybrid simulation,0.10134804168567575,0.4509466437177281,0.6342220706250611,0.23551758642893522,False
40,hybrid không jackknife,0.10134804168567575,0.4509466437177281,0.6342220706250611,0.23551758642893522,False
40,pipeline đầy đủ,0.10134804168567575,0.4509466437177281,0.6342220706250611,0.23551758642893522,True
60,RF cơ bản,0.17984102671712016,0.4098073555166375,0.8125745339231623,0.1359863363910987,False
60,RF + HMM,0.16517109611359462,0.4299474605954466,0.8059525928861107,0.15732906618942272,False
60,RF + EGARCH,0.1787684197609074,0.38879159369527144,0.8088838265886364,0.14855782368914677,False
60,RF + HMM + EGARCH,0.16566260837558736,0.4457092819614711,0.806234684478768,0.14497849336501395,False
60,soft-gated RF,0.2619898306271856,0.44395796847635727,0.7840879989839072,0.1539257328187048,False
60,Student-t Monte Carlo,0.2619898306271856,0.44395796847635727,0.7840879989839072,0.1539257328187048,False
60,regime block bootstrap,0.2619898306271856,0.44395796847635727,0.7840879989839072,0.1539257328187048,False
60,hybrid simulation,0.2619898306271856,0.44395796847635727,0.7840879989839072,0.1539257328187048,False
60,hybrid không jackknife,0.2619898306271856,0.44395796847635727,0.7840879989839072,0.1539257328187048,False
60,pipeline đầy đủ,0.2619898306271856,0.44395796847635727,0.7840879989839072,0.1539257328187048,True
