seed,mae_return,rmse_return,median_absolute_error_return,r2_return,directional_accuracy,return_correlation,mean_signed_error,mae_price,rmse_price,smape_price,mase_return
11,0.052664567344087636,0.0694539363615372,0.04024185982393489,-0.47307723985631456,0.49153976311336717,-0.10373014908694408,0.005890808845924719,72.26583639562372,99.09671313553187,0.05261426954763733,3.428366036870657
22,0.05235766350300583,0.06924929281444953,0.040320227927118174,-0.4644092894720553,0.5016920473773265,-0.0884746248722332,0.0065955122387510315,72.02875926363542,99.26286260388791,0.052307812729552615,3.4083871638178223
33,0.051519998531671385,0.06778265994701659,0.03873620318030157,-0.40303661490990317,0.48984771573604063,-0.08462426295682561,0.005587273591943051,70.72546611040143,96.89672142905299,0.051473382551268126,3.3538567217610975
44,0.05183047443451581,0.06826339085523418,0.03938663904114906,-0.42300853293871965,0.49238578680203043,-0.08716920828257617,0.0068452981734582466,71.191467337444,97.4614742876621,0.05178273366260224,3.374068129435333
55,0.051310489242744214,0.0674699283282131,0.03899696813024204,-0.39011998644976287,0.4780033840947547,-0.1002989864938505,0.0043909430652023336,70.15373296772832,95.70604038221407,0.05126447224541127,3.3402180541181274
