horizon,method,window,level,coverage,coverage_error,average_width,normalized_width,interval_score,winkler_score,var_exceedance_rate,coverage_acceptance,var_acceptance,objective,selection_records,selected,selection_reason
1,global,250.0,0.95,0.95625,0.006250000000000089,0.052042731166191854,6.082248153228661,0.07468545746577111,0.07468545746577111,0.05,True,True,8.97850973738517,480,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
1,global,500.0,0.95,0.9520833333333333,0.002083333333333326,0.050094617964811024,5.854571633263924,0.0735534047675827,0.0735534047675827,0.052083333333333336,True,True,8.783706430494405,480,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
1,global,,0.95,0.9416666666666667,-0.008333333333333304,0.04657440365575802,5.443163229046358,0.07349687450244519,0.07349687450244519,0.058333333333333334,True,True,9.339599723024802,480,True,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
1,volatility_stratified,250.0,0.95,0.95625,0.006250000000000089,0.05220864015780404,6.101637982225429,0.0750244987070993,0.0750244987070993,0.04583333333333333,True,True,9.226466912852223,480,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
1,volatility_stratified,500.0,0.95,0.9541666666666667,0.004166666666666763,0.04845147100426737,5.662536600853052,0.07440298479663841,0.07440298479663841,0.04375,True,True,9.174663746344011,480,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
1,volatility_stratified,,0.95,0.9416666666666667,-0.008333333333333304,0.045674048727740085,5.337938503604876,0.07415326214401599,0.07415326214401599,0.06041666666666667,True,True,9.52047859197765,480,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
1,regime_stratified,250.0,0.95,0.95625,0.006250000000000089,0.054587771742318464,6.379687737915446,0.07628603047026473,0.07628603047026473,0.04791666666666667,True,True,9.26973580663394,480,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
1,regime_stratified,500.0,0.95,0.95,0.0,0.050040913254925525,5.848295149205513,0.07364397141380054,0.07364397141380054,0.05,True,True,8.606790979082824,480,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
1,regime_stratified,,0.95,0.9520833333333333,0.002083333333333326,0.049086230538212726,5.736721120315618,0.07373369646353095,0.07373369646353095,0.04791666666666667,True,True,8.804777170060744,480,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
1,volatility_regime,250.0,0.95,0.9604166666666667,0.01041666666666674,0.05460235678477418,6.381392295796118,0.07666874587368948,0.07666874587368948,0.041666666666666664,True,True,9.793630526643138,480,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
1,volatility_regime,500.0,0.95,0.9541666666666667,0.004166666666666763,0.04858811354650934,5.678506051947956,0.07498158940466006,0.07498158940466006,0.041666666666666664,True,True,9.346452090999694,480,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
1,volatility_regime,,0.95,0.9520833333333333,0.002083333333333326,0.04785612626372428,5.592958499020939,0.07394081755421007,0.07394081755421007,0.04791666666666667,True,True,8.828983468290076,480,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
5,global,250.0,0.95,0.9478079331941545,-0.002192066805845494,0.14068465260767754,6.151755991257624,0.18973908530675773,0.18973908530675773,0.04592901878914405,True,True,8.588004217736996,479,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
5,global,500.0,0.95,0.941544885177453,-0.008455114822546905,0.1284643196000389,5.617394172811468,0.17878423011232072,0.17878423011232072,0.054279749478079335,True,True,8.36993862515239,479,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
5,global,,0.95,0.9269311064718163,-0.023068893528183643,0.11427104400246586,4.996760958210378,0.1786027977429407,0.1786027977429407,0.06680584551148225,True,True,9.572861032585102,479,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
5,volatility_stratified,250.0,0.95,0.9436325678496869,-0.0063674321503131015,0.13981992622178896,6.113943865865218,0.18994886726836904,0.18994886726836904,0.05219206680584551,True,True,8.670246304042637,479,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
5,volatility_stratified,500.0,0.95,0.9436325678496869,-0.0063674321503131015,0.12911938129088077,5.646038233173315,0.19031630896886587,0.19031630896886587,0.06263048016701461,True,True,9.208234195075105,479,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
5,volatility_stratified,,0.95,0.9248434237995825,-0.025156576200417446,0.11893167684234127,5.200557715456597,0.18411174431101332,0.18411174431101332,0.06889352818371608,False,True,10.001643674986939,479,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
5,regime_stratified,250.0,0.95,0.9478079331941545,-0.002192066805845494,0.14276921449991647,6.242908194941769,0.1916215002997108,0.1916215002997108,0.04592901878914405,True,True,8.670317089086407,479,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
5,regime_stratified,500.0,0.95,0.941544885177453,-0.008455114822546905,0.12994657439883406,5.682209130733615,0.18084673919101882,0.18084673919101882,0.054279749478079335,True,True,8.460126519472938,479,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
5,regime_stratified,,0.95,0.9394572025052192,-0.010542797494780709,0.12382626627461665,5.414584756122603,0.1753763389185593,0.1753763389185593,0.054279749478079335,True,True,8.30442814879257,479,True,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
5,volatility_regime,250.0,0.95,0.9457202505219207,-0.004279749478079298,0.14291397747916615,6.2492382850291,0.1911991704452434,0.1911991704452434,0.05219206680584551,True,True,8.641411343544007,479,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
5,volatility_regime,500.0,0.95,0.9436325678496869,-0.0063674321503131015,0.1298387457689571,5.677494078966565,0.1920240405486581,0.1920240405486581,0.060542797494780795,True,True,9.17852450379042,479,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
5,volatility_regime,,0.95,0.9561586638830898,0.006158663883089832,0.12650996793060332,5.531935706883404,0.17889971971727472,0.17889971971727472,0.060542797494780795,True,True,8.59628303371288,479,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
10,global,250.0,0.95,0.9371069182389937,-0.012893081761006231,0.20834954229845584,5.897270061231062,0.30076809674075583,0.30076809674075583,0.07337526205450734,True,False,10.197635347315547,477,False,validation coverage và VaR acceptance đạt; chọn interval score thấp nhất
