# VN30 constituent list used when data.universe_method == "static_list".
#
# WARNING - SURVIVORSHIP BIAS
# ---------------------------
# This is a *current* membership snapshot, not point-in-time membership.
# Applying it to history means the network is built from stocks that are known,
# ex post, to have survived into today's VN30. Centrality, community and stress
# statistics computed on a survivor-only universe are optimistically biased.
#
# Mitigations available in DynamicGraph:
#   1. Set `data.universe_method: liquidity_proxy` in the config to rebuild the
#      universe point-in-time from trailing market cap x turnover (no lookahead).
#   2. Extend this file with real membership history: add rows with distinct
#      `effective_from` / `effective_to` dates per ticker. Empty `effective_to`
#      means "still a member". The loader honours these dates when present.
#
# Verify against official HOSE VN30 index review announcements before relying
# on this file for research conclusions.
ticker,effective_from,effective_to,source
ACB,,,static_snapshot_user_maintained
BCM,,,static_snapshot_user_maintained
BID,,,static_snapshot_user_maintained
BVH,,,static_snapshot_user_maintained
CTG,,,static_snapshot_user_maintained
FPT,,,static_snapshot_user_maintained
GAS,,,static_snapshot_user_maintained
GVR,,,static_snapshot_user_maintained
HDB,,,static_snapshot_user_maintained
HPG,,,static_snapshot_user_maintained
LPB,,,static_snapshot_user_maintained
MBB,,,static_snapshot_user_maintained
MSN,,,static_snapshot_user_maintained
MWG,,,static_snapshot_user_maintained
PLX,,,static_snapshot_user_maintained
SAB,,,static_snapshot_user_maintained
SHB,,,static_snapshot_user_maintained
SSB,,,static_snapshot_user_maintained
SSI,,,static_snapshot_user_maintained
STB,,,static_snapshot_user_maintained
TCB,,,static_snapshot_user_maintained
TPB,,,static_snapshot_user_maintained
VCB,,,static_snapshot_user_maintained
VHM,,,static_snapshot_user_maintained
VIB,,,static_snapshot_user_maintained
VIC,,,static_snapshot_user_maintained
VJC,,,static_snapshot_user_maintained
VNM,,,static_snapshot_user_maintained
VPB,,,static_snapshot_user_maintained
VRE,,,static_snapshot_user_maintained
