horizon,anchor_mode,level,method,coverage,coverage_error,pinball_loss,average_upper_bound,objective,fallback_rate,selected
1,origin_peak,0.8,global,0.8125,0.012499999999999956,0.0026831833538130895,0.007550193262320434,0.015258685286436249,0.0,False
1,origin_peak,0.8,current_drawdown_stratified,0.825,0.02499999999999991,0.0027001870304835087,0.00793900909660265,0.027779577121449444,0.0,False
1,origin_peak,0.8,volatility_stratified,0.8104166666666667,0.01041666666666663,0.002689813094748984,0.007655045349109953,0.013183030214906712,0.0,True
1,origin_peak,0.8,regime_stratified,0.8125,0.012499999999999956,0.002684510470480426,0.007931265333941272,0.015263823123819794,0.1625,False
1,origin_peak,0.8,current_drawdown_regime,0.8229166666666666,0.022916666666666585,0.0027018954206735387,0.00777770589135109,0.025696339146253636,0.16875,False
1,origin_peak,0.8,volatility_regime,0.8666666666666667,0.06666666666666665,0.002766583208690261,0.009082706420424004,0.06952407693956116,0.1625,False
1,origin_peak,0.9,global,0.8979166666666667,-0.002083333333333326,0.002139984078127907,0.012948494918023027,0.004352802360641463,0.0,False
1,origin_peak,0.9,current_drawdown_stratified,0.91875,0.018749999999999933,0.0022480774260659983,0.014749142300794115,0.021145568849073874,0.0,False
1,origin_peak,0.9,volatility_stratified,0.8979166666666667,-0.002083333333333326,0.0021380661585857874,0.012798320341866398,0.0043493826953377775,0.0,True
1,origin_peak,0.9,regime_stratified,0.9041666666666667,0.004166666666666652,0.0021414835567539615,0.013558049736471225,0.006443730720785326,0.1625,False
1,origin_peak,0.9,current_drawdown_regime,0.9145833333333333,0.014583333333333282,0.0022318332576161106,0.014583313680954054,0.016960999727758934,0.16875,False
1,origin_peak,0.9,volatility_regime,0.9166666666666666,0.016666666666666607,0.0022096593866371417,0.014258604762091296,0.019018912100924663,0.1625,False
1,origin_peak,0.95,global,0.9354166666666667,-0.014583333333333282,0.001528748791952095,0.01835729718540174,0.016295655097139393,0.0,False
1,origin_peak,0.95,current_drawdown_stratified,0.9375,-0.012499999999999956,0.0015970770279645334,0.02013697747093261,0.014298446802673816,0.0,False
