anchor_mode,expected_ending_drawdown_severity,median_ending_drawdown_severity,expected_maximum_drawdown_severity,median_maximum_drawdown_severity,mdar_80,mdar_90,mdar_95,mdar_975,mdar_99,ced_90,ced_95,ced_99
origin_peak,0.028372973014678705,0.02072464263836371,0.04521354033719981,0.03983753278342844,0.06436387017841948,0.08042203831072389,0.09429108166155468,0.10723434197507391,0.1235635729031602,0.099518574574308,0.11234157428293674,0.139269012287864
historical_peak,0.0579693197678499,0.05333397712301802,0.09089419809018223,0.08486869367821875,0.11329184384102961,0.1305935118785734,0.1451955756117185,0.15894090993419804,0.17529361767345558,0.1504138643491932,0.16351768726147153,0.19018249681781846
rolling_peak,0.0579693197678499,0.05333397712301802,0.09089419809018223,0.08486869367821875,0.11329184384102961,0.1305935118785734,0.1451955756117185,0.15894090993419804,0.17529361767345558,0.1504138643491932,0.16351768726147153,0.19018249681781846
