date,actual_severity,horizon,anchor_mode,regime,volatility_bin,current_drawdown_bin,current_drawdown_severity,median_egarch_student_t,median_residual_block_bootstrap,median_hybrid_monte_carlo,median_historical_empirical,median_hybrid_importance_sampling,conformal_upper_80,conformal_covered_80,conformal_upper_90,conformal_covered_90,conformal_upper_95,conformal_covered_95,conformal_upper_99,conformal_covered_99
2021-09-16,-0.0,1,origin_peak,3,0,0,0.05238440578199921,0.0,0.0,0.0,0.0,0.0,0.005063137230991499,1.0,0.009492445347462852,1.0,0.014726458296936307,1.0,0.033634699100218435,1.0
2021-09-17,0.0015968772178850399,1,origin_peak,3,0,0,0.04761770649242736,0.0,0.0,0.0,0.0,0.0,0.004578576149015801,1.0,0.008740698529039581,1.0,0.013765922927122864,1.0,0.03217619206901612,1.0
2021-09-20,0.00787868017297566,1,origin_peak,3,0,0,0.049138544079646795,0.0,0.0,0.0,0.0,0.0,0.004319616784869806,0.0,0.008338865900044401,1.0,0.01325240190402821,1.0,0.031396140494905134,1.0
2021-09-21,-0.0,1,origin_peak,3,0,0,0.0566300773796532,0.0,0.0,0.0,0.0,0.0,0.004017885965823309,1.0,0.007870589458947141,1.0,0.012653897695999894,1.0,0.030486723558567186,1.0
2021-09-22,-0.0,1,origin_peak,3,0,0,0.048997725784533874,0.0,0.0,0.0,0.0,0.0,0.00410401095223345,1.0,0.008004261256759126,1.0,0.012824750684958253,1.0,0.030746362322531362,1.0
2021-09-23,0.0011753747893195055,1,origin_peak,3,0,0,0.04753321551535972,0.0,0.0,0.0,0.0,0.0,0.00436117565777816,1.0,0.008403357194368799,1.0,0.013334822089236531,1.0,0.031521353089771886,1.0
2021-09-24,0.01937580023239127,1,origin_peak,3,0,0,0.0486527209615073,0.0,0.0,0.0,0.0,0.0,0.0043339102580837174,0.0,0.008361046278481443,0.0,0.013280749500554356,0.0,0.03143920485075535,1.0
2021-09-27,-0.0,1,origin_peak,3,0,0,0.06708583579178606,0.0,0.0,0.0,0.0,0.0,0.004136146237670557,1.0,0.008054135443274935,1.0,0.012888496921222958,1.0,0.03084322732087197,1.0
2021-09-28,7.466531273558896e-05,1,origin_peak,3,1,0,0.057003245861702356,0.0,0.0,0.0,0.0,0.0,0.003960873502359852,1.0,0.007869832773854335,1.0,0.01721792519643006,1.0,0.04741496510717946,1.0
2021-09-29,-0.0,1,origin_peak,3,1,0,0.05707365500925876,0.0,0.0,0.0,0.0,0.0,0.004844681861863598,1.0,0.00924027580504616,1.0,0.018968289164742802,1.0,0.05007021792147237,1.0
2021-09-30,0.005342533120724746,1,origin_peak,3,1,0,0.05506699430389994,0.0,0.0,0.0,0.0,0.0,0.004972902162985071,0.0,0.009439039600243171,1.0,0.01922209878071246,1.0,0.05045503295872289,1.0
2021-10-01,-0.0,1,origin_peak,3,1,0,0.06011533018369741,0.0,0.0,0.0,0.0,0.0,0.00478504042984651,1.0,0.009147815962483485,1.0,0.01885021981402335,1.0,0.04989118792030889,1.0
