horizon,alpha,rmse,rmse_standard_error,mae,directional_accuracy,relative_improvement_vs_drift,selected,selection_reason,selected_center
1,0.0,0.011387722292337827,0.00046701457752666,0.0075614410232640325,0.5791666666666667,0.0,True,fallback: validation improvement 0.4646% < minimum 1.0000%,random_walk_drift_fallback
1,0.05,0.011371722717981066,0.00046614720796146086,0.007552002057855883,0.58,0.0014049845918288875,False,fallback: validation improvement 0.4646% < minimum 1.0000%,random_walk_drift_fallback
1,0.1,0.011358585015958824,0.00046523843762112514,0.007546783729438413,0.5616666666666666,0.0025586570897156626,False,fallback: validation improvement 0.4646% < minimum 1.0000%,random_walk_drift_fallback
1,0.15,0.011348319125657369,0.00046428861171466664,0.0075449790821772045,0.5458333333333333,0.003460144677656059,False,fallback: validation improvement 0.4646% < minimum 1.0000%,random_walk_drift_fallback
1,0.2,0.01134093284583046,0.00046329831932304826,0.007546357449956441,0.55,0.0041087625168774785,False,fallback: validation improvement 0.4646% < minimum 1.0000%,random_walk_drift_fallback
1,0.25,0.011336431805131206,0.0004622683944131577,0.007549796335803111,0.5466666666666666,0.00450401633355002,False,fallback: validation improvement 0.4646% < minimum 1.0000%,random_walk_drift_fallback
1,0.3,0.011334819440733205,0.0004611999152349677,0.007556641782213343,0.5466666666666666,0.004645604296147775,False,fallback: validation improvement 0.4646% < minimum 1.0000%,random_walk_drift_fallback
1,0.35,0.011336096985229761,0.0004600942020856314,0.007566584877954229,0.5425,0.0045334181658786875,False,fallback: validation improvement 0.4646% < minimum 1.0000%,random_walk_drift_fallback
1,0.4,0.01134026346192742,0.000458952813443362,0.007579624827941477,0.5341666666666667,0.004167543709977874,False,fallback: validation improvement 0.4646% < minimum 1.0000%,random_walk_drift_fallback
1,0.45,0.011347315688575676,0.00045777754049313444,0.007595382240315315,0.5325,0.0035482603741872547,False,fallback: validation improvement 0.4646% < minimum 1.0000%,random_walk_drift_fallback
1,0.5,0.011357248289499711,0.00045657040008516975,0.007613379321297029,0.5366666666666666,0.0026760402173330363,False,fallback: validation improvement 0.4646% < minimum 1.0000%,random_walk_drift_fallback
1,0.55,0.011370053716028406,0.0004553336261854389,0.007632469569809051,0.5383333333333333,0.0015515461174627288,False,fallback: validation improvement 0.4646% < minimum 1.0000%,random_walk_drift_fallback
1,0.6,0.011385722275037168,0.0004540696598947129,0.007652930116277255,0.5391666666666667,0.00017562926538919346,False,fallback: validation improvement 0.4646% < minimum 1.0000%,random_walk_drift_fallback
1,0.65,0.011404242165355074,0.00045278113812865963,0.007676738008855496,0.5383333333333333,-0.001450674032362197,False,fallback: validation improvement 0.4646% < minimum 1.0000%,random_walk_drift_fallback
1,0.7,0.011425599521719919,0.00045147088106586787,0.007702617805882617,0.54,-0.003326146213415948,False,fallback: validation improvement 0.4646% < minimum 1.0000%,random_walk_drift_fallback
1,0.75,0.011449778465903572,0.00045014187848322175,0.007730007985666273,0.5383333333333333,-0.005449392949062243,False,fallback: validation improvement 0.4646% < minimum 1.0000%,random_walk_drift_fallback
1,0.8,0.011476761164574733,0.0004487972751085701,0.007759246126405608,0.5358333333333334,-0.00781884822540983,False,fallback: validation improvement 0.4646% < minimum 1.0000%,random_walk_drift_fallback
1,0.85,0.011506527893417334,0.0004474403551289964,0.007789897487029154,0.5375,-0.010432779973871046,False,fallback: validation improvement 0.4646% < minimum 1.0000%,random_walk_drift_fallback
1,0.9,0.011539057106981072,0.00044607452599912026,0.007825022869129531,0.535,-0.013289296205007529,False,fallback: validation improvement 0.4646% < minimum 1.0000%,random_walk_drift_fallback
1,0.95,0.011574325513706124,0.00044470330169773387,0.007863230420985964,0.5366666666666666,-0.016386351596741386,False,fallback: validation improvement 0.4646% < minimum 1.0000%,random_walk_drift_fallback
1,1.0,0.01161230815553762,0.0004433302855827204,0.007903499431225206,0.5366666666666666,-0.0197217544856098,False,fallback: validation improvement 0.4646% < minimum 1.0000%,random_walk_drift_fallback
5,0.0,0.02814473846745188,0.002298230825447333,0.019448257855672058,0.6220735785953178,0.0,True,fallback: validation improvement 0.1629% < minimum 1.0000%,random_walk_drift_fallback
5,0.05,0.028098895812020245,0.0023018027907243934,0.019356255245023254,0.612876254180602,0.0016288179577382943,False,fallback: validation improvement 0.1629% < minimum 1.0000%,random_walk_drift_fallback
5,0.1,0.02810757285569938,0.0023046011146578872,0.019307869677659475,0.6020066889632107,0.0013205172183596034,False,fallback: validation improvement 0.1629% < minimum 1.0000%,random_walk_drift_fallback
5,0.15,0.02817071921964905,0.0023066833766120605,0.019305485324478913,0.592809364548495,-0.0009231122267210455,False,fallback: validation improvement 0.1629% < minimum 1.0000%,random_walk_drift_fallback
5,0.2,0.02828797013566609,0.002308160633570098,0.01935026286695213,0.596989966555184,-0.005089109937185994,False,fallback: validation improvement 0.1629% < minimum 1.0000%,random_walk_drift_fallback
5,0.25,0.02845865687221631,0.0023091921620800766,0.019443586159452696,0.5894648829431438,-0.011153715467189813,False,fallback: validation improvement 0.1629% < minimum 1.0000%,random_walk_drift_fallback
5,0.3,0.02868182544879124,0.0023099777862992466,0.01958196618292718,0.592809364548495,-0.01908303329805249,False,fallback: validation improvement 0.1629% < minimum 1.0000%,random_walk_drift_fallback
5,0.35,0.02895626244371827,0.0023107484097983607,0.019763008232930108,0.5844481605351171,-0.028833949805747282,False,fallback: validation improvement 0.1629% < minimum 1.0000%,random_walk_drift_fallback
5,0.4,0.029280526325088933,0.002311755492134363,0.01999825400966571,0.5811036789297659,-0.04035524646820015,False,fallback: validation improvement 0.1629% < minimum 1.0000%,random_walk_drift_fallback
5,0.45,0.029652982524008255,0.0023132602437809027,0.0202924629930962,0.5794314381270903,-0.053588846039574776,False,fallback: validation improvement 0.1629% < minimum 1.0000%,random_walk_drift_fallback
5,0.5,0.030071840429116203,0.002315523259940617,0.020629591938329365,0.5785953177257525,-0.06847112698854643,False,fallback: validation improvement 0.1629% < minimum 1.0000%,random_walk_drift_fallback
5,0.55,0.030535190592978018,0.0023187951930933536,0.02100651752366872,0.5785953177257525,-0.08493424546440854,False,fallback: validation improvement 0.1629% < minimum 1.0000%,random_walk_drift_fallback
5,0.6,0.031041040669328963,0.0023233089013269333,0.021425613854182013,0.5735785953177257,-0.10290741216965037,False,fallback: validation improvement 0.1629% < minimum 1.0000%,random_walk_drift_fallback
5,0.65,0.03158734890190299,0.002329273331445796,0.021870851802047155,0.5710702341137124,-0.12231808223879347,False,fallback: validation improvement 0.1629% < minimum 1.0000%,random_walk_drift_fallback
5,0.7,0.03217205431731623,0.0023368692259666613,0.022348301149024776,0.5702341137123745,-0.14309302801025345,False,fallback: validation improvement 0.1629% < minimum 1.0000%,random_walk_drift_fallback
5,0.75,0.032793103099162724,0.002346246598344758,0.02286787180939121,0.5735785953177257,-0.1651592761143071,False,fallback: validation improvement 0.1629% < minimum 1.0000%,random_walk_drift_fallback
5,0.8,0.033448470910917016,0.002357523810702794,0.0234295296464243,0.5744147157190636,-0.18844490061965458,False,fallback: validation improvement 0.1629% < minimum 1.0000%,random_walk_drift_fallback
5,0.85,0.034136181175034565,0.0023707880158098152,0.02403009505079582,0.5719063545150501,-0.21287967250118597,False,fallback: validation improvement 0.1629% < minimum 1.0000%,random_walk_drift_fallback
5,0.9,0.03485431949818103,0.0023860966877871266,0.02465891839249125,0.5719063545150501,-0.23839557217731772,False,fallback: validation improvement 0.1629% < minimum 1.0000%,random_walk_drift_fallback
5,0.95,0.03560104455880413,0.002403479958438978,0.02531283798702862,0.5710702341137124,-0.26492717635216745,False,fallback: validation improvement 0.1629% < minimum 1.0000%,random_walk_drift_fallback
5,1.0,0.03637459584936729,0.0024229434910977366,0.025982455718499838,0.5693979933110368,-0.29241193310191416,False,fallback: validation improvement 0.1629% < minimum 1.0000%,random_walk_drift_fallback
10,0.0,0.042068441936009386,0.004913601672610975,0.029461198846391323,0.6196473551637279,0.0,True,fallback: validation improvement 0.1351% < minimum 1.0000%,random_walk_drift_fallback
10,0.05,0.04201161714780702,0.004901560720577119,0.029312747047804084,0.6171284634760705,0.001350769973577938,False,fallback: validation improvement 0.1351% < minimum 1.0000%,random_walk_drift_fallback
10,0.1,0.04202622296991789,0.004889305358581155,0.029228182071150525,0.6070528967254408,0.0010035780777361493,False,fallback: validation improvement 0.1351% < minimum 1.0000%,random_walk_drift_fallback
10,0.15,0.04211218507930237,0.0048771325478502384,0.029227968047816362,0.600335852225021,-0.0010398089703326434,False,fallback: validation improvement 0.1351% < minimum 1.0000%,random_walk_drift_fallback
10,0.2,0.042269068128862296,0.004865385594001318,0.029283315274321202,0.5961376994122586,-0.004769042627204582,False,fallback: validation improvement 0.1351% < minimum 1.0000%,random_walk_drift_fallback
10,0.25,0.042496086668118147,0.0048544422404875115,0.02940994424610405,0.5944584382871536,-0.010165452116321633,False,fallback: validation improvement 0.1351% < minimum 1.0000%,random_walk_drift_fallback
10,0.3,0.04279212447423986,0.004844701152830206,0.029607792866077048,0.5961376994122586,-0.017202503941821025,False,fallback: validation improvement 0.1351% < minimum 1.0000%,random_walk_drift_fallback
10,0.35,0.04315576120550173,0.0048365676982571795,0.02987528039309196,0.5944584382871536,-0.02584643546215167,False,fallback: validation improvement 0.1351% < minimum 1.0000%,random_walk_drift_fallback
10,0.4,0.043585304940157985,0.004830439950309326,0.030201397720725266,0.5902602854743912,-0.03605702836477542,False,fallback: validation improvement 0.1351% < minimum 1.0000%,random_walk_drift_fallback
10,0.45,0.04407882894905051,0.004826695775460555,0.03058623260467889,0.5910999160369438,-0.04778848278001692,False,fallback: validation improvement 0.1351% < minimum 1.0000%,random_walk_drift_fallback
10,0.5,0.044634210977741826,0.004825681705418042,0.03104084665462085,0.5860621326616289,-0.060990351048304796,False,fallback: validation improvement 0.1351% < minimum 1.0000%,random_walk_drift_fallback
10,0.55,0.04524917337349166,0.004827704091445175,0.031534564975236254,0.5860621326616289,-0.0756084915700112,False,fallback: validation improvement 0.1351% < minimum 1.0000%,random_walk_drift_fallback
10,0.6,0.04592132255995972,0.004833022807069912,0.03207551027412318,0.5835432409739715,-0.09158600715022859,False,fallback: validation improvement 0.1351% < minimum 1.0000%,random_walk_drift_fallback
10,0.65,0.04664818660591477,0.004841847542706037,0.032684480533652624,0.581024349286314,-0.10886413803657544,False,fallback: validation improvement 0.1351% < minimum 1.0000%,random_walk_drift_fallback
10,0.7,0.04742724991898063,0.0048543365437895974,0.03336605141207912,0.5818639798488665,-0.12738308661686515,False,fallback: validation improvement 0.1351% < minimum 1.0000%,random_walk_drift_fallback
10,0.75,0.0482559843897881,0.004870597498233977,0.034083252386517826,0.5785054575986566,-0.14708275774012808,False,fallback: validation improvement 0.1351% < minimum 1.0000%,random_walk_drift_fallback
10,0.8,0.049131876590156,0.004890690185552043,0.034838217521243574,0.581024349286314,-0.16790340523879763,False,fallback: validation improvement 0.1351% < minimum 1.0000%,random_walk_drift_fallback
10,0.85,0.05005245087311896,0.004914630457290855,0.03563474756543221,0.5801847187237615,-0.18978618103456518,False,fallback: validation improvement 0.1351% < minimum 1.0000%,random_walk_drift_fallback
10,0.9,0.051015288422535415,0.004942395119233328,0.03646332551495672,0.5776658270361041,-0.21267358796256688,False,fallback: validation improvement 0.1351% < minimum 1.0000%,random_walk_drift_fallback
10,0.95,0.05201804245217026,0.004973927319717479,0.037321510252947804,0.5801847187237615,-0.23650984106554943,False,fallback: validation improvement 0.1351% < minimum 1.0000%,random_walk_drift_fallback
10,1.0,0.053058449860224156,0.0050091421040424425,0.03820097525098629,0.5768261964735516,-0.26124114463121195,False,fallback: validation improvement 0.1351% < minimum 1.0000%,random_walk_drift_fallback
20,0.0,0.05996049320216901,0.010027750557015217,0.04202928980496443,0.6384419983065199,0.0,True,fallback: validation improvement 0.0802% < minimum 1.0000%,random_walk_drift_fallback
20,0.05,0.05992177825341569,0.00992990830853464,0.04200846309118585,0.6384419983065199,0.0006456742879478808,False,fallback: validation improvement 0.0802% < minimum 1.0000%,random_walk_drift_fallback
20,0.1,0.059912376014625554,0.009832332506802887,0.04203630708860476,0.6375952582557155,0.0008024815169751255,False,fallback: validation improvement 0.0802% < minimum 1.0000%,random_walk_drift_fallback
20,0.15,0.05993230028162133,0.009735488233912487,0.042094610698541604,0.6232006773920407,0.0004701916052060798,False,fallback: validation improvement 0.0802% < minimum 1.0000%,random_walk_drift_fallback
20,0.2,0.059981521829953324,0.009639862572012154,0.0421807508302098,0.6164267569856055,-0.00035070805227392995,False,fallback: validation improvement 0.0802% < minimum 1.0000%,random_walk_drift_fallback
20,0.25,0.060059968628780505,0.009545960629339417,0.04230305058974895,0.6164267569856055,-0.0016590161504525342,False,fallback: validation improvement 0.0802% < minimum 1.0000%,random_walk_drift_fallback
20,0.3,0.06016752636601592,0.00945430107813158,0.04246608531096836,0.615580016934801,-0.0034528262325804445,False,fallback: validation improvement 0.0802% < minimum 1.0000%,random_walk_drift_fallback
20,0.35,0.06030403927584398,0.009365411248347947,0.04265975456313702,0.6172734970364098,-0.005729540491213781,False,fallback: validation improvement 0.0802% < minimum 1.0000%,random_walk_drift_fallback
