horizon,anchor_mode,method,threshold,brier_score,log_loss,mean_probability,event_rate,reliability_gap
1,origin_peak,egarch_student_t,0.03,0.024911094088259787,0.12518770107331703,0.01597751873438801,0.025811823480432972,-0.009834304746044964
1,origin_peak,egarch_student_t,0.05,0.0034075947127393843,0.03404099872952034,0.002670691090757702,0.0033305578684429643,-0.0006598667776852624
1,origin_peak,egarch_student_t,0.07,2.1429225645295588e-05,0.000666441159086962,0.0006544546211490425,0.0,0.0006544546211490425
1,origin_peak,egarch_student_t,0.1,1.7768526228143218e-06,0.00012760391680553175,0.00012572855953372193,0.0,0.00012572855953372193
1,origin_peak,residual_block_bootstrap,0.03,0.02486911885928393,0.12312410103158707,0.014629059117402166,0.025811823480432972,-0.011182764363030806
1,origin_peak,residual_block_bootstrap,0.05,0.003403915278934221,0.04001567409697649,0.0023759367194005,0.0033305578684429643,-0.0009546211490424642
1,origin_peak,residual_block_bootstrap,0.07,2.1581390507910075e-05,0.00062039474659643,0.0006082431307243963,0.0,0.0006082431307243963
1,origin_peak,residual_block_bootstrap,0.1,8.857202331390508e-07,8.594791642670564e-05,8.451290591174022e-05,0.0,8.451290591174022e-05
1,origin_peak,hybrid_monte_carlo,0.03,0.024973275603663612,0.12625720895793857,0.012890091590341383,0.025811823480432972,-0.01292173189009159
1,origin_peak,hybrid_monte_carlo,0.05,0.0033982768526228135,0.03994965631897234,0.0021015820149875106,0.0033305578684429643,-0.0012289758534554537
1,origin_peak,hybrid_monte_carlo,0.07,1.3950874271440466e-05,0.0004835602229086116,0.0004754371357202331,0.0,0.0004754371357202331
1,origin_peak,hybrid_monte_carlo,0.1,9.044546211490427e-07,8.345944029106172e-05,8.201498751040799e-05,0.0,8.201498751040799e-05
1,origin_peak,historical_empirical,0.03,0.025263959520956433,0.12173044774001684,0.03669236905078437,0.025811823480432972,0.0108805455703514
1,origin_peak,historical_empirical,0.05,0.0033258103630450665,0.022970866745908085,0.0058495081095453335,0.0033305578684429643,0.0025189502411023692
1,origin_peak,historical_empirical,0.07,7.0695754387679e-08,0.00026592208639616104,0.00026588673225206064,0.0,0.00026588673225206064
1,origin_peak,historical_empirical,0.1,0.0,1.000000500029089e-06,0.0,0.0,0.0
1,origin_peak,hybrid_importance_sampling,0.03,0.024973275603663612,0.12625720895793857,0.012890091590341383,0.025811823480432972,-0.01292173189009159
1,origin_peak,hybrid_importance_sampling,0.05,0.0033982768526228135,0.03994965631897234,0.0021015820149875106,0.0033305578684429643,-0.0012289758534554537
1,origin_peak,hybrid_importance_sampling,0.07,1.3950874271440466e-05,0.0004835602229086116,0.0004754371357202331,0.0,0.0004754371357202331
1,origin_peak,hybrid_importance_sampling,0.1,9.044546211490427e-07,8.345944029106172e-05,8.201498751040799e-05,0.0,8.201498751040799e-05
1,historical_peak,egarch_student_t,0.03,0.02156262073272273,0.07346204565642028,0.8222073272273106,0.8209825145711906,0.0012248126561199557
1,historical_peak,egarch_student_t,0.05,0.021089715237302246,0.06609135146872785,0.7517826810990842,0.7468776019983348,0.004905079100749443
1,historical_peak,egarch_student_t,0.07,0.010445951290591175,0.044863680167667515,0.7067926727726894,0.704412989175687,0.002379683597002469
1,historical_peak,egarch_student_t,0.1,0.0066968701082431295,0.02247742321376362,0.6765745212323064,0.678601165695254,-0.0020266444629475355
1,historical_peak,residual_block_bootstrap,0.03,0.021486011240632808,0.07287857795621133,0.8211923397169025,0.8209825145711906,0.00020982514571188382
1,historical_peak,residual_block_bootstrap,0.05,0.02097507556203164,0.06572309152248551,0.7511411323896753,0.7468776019983348,0.004263530391340531
1,historical_peak,residual_block_bootstrap,0.07,0.010415674854288095,0.04421216336463556,0.7063022481265612,0.704412989175687,0.0018892589508742175
1,historical_peak,residual_block_bootstrap,0.1,0.006756887385512072,0.022854202463802945,0.6763975853455453,0.678601165695254,-0.002203580349708689
1,historical_peak,hybrid_monte_carlo,0.03,0.021549942964196506,0.0735414843604604,0.8199425478767693,0.8209825145711906,-0.0010399666944213015
1,historical_peak,hybrid_monte_carlo,0.05,0.0209494310990841,0.06581357445713351,0.750335137385512,0.7468776019983348,0.003457535387177302
1,historical_peak,hybrid_monte_carlo,0.07,0.010344785595337217,0.04457444747139711,0.705849292256453,0.704412989175687,0.0014363030807660326
1,historical_peak,hybrid_monte_carlo,0.1,0.00673610782681099,0.022664259423643397,0.6759816819317236,0.678601165695254,-0.0026194837635303836
1,historical_peak,historical_empirical,0.03,0.1652347138505204,0.5965287605170853,0.95612868917841,0.8209825145711906,0.13514617460721934
1,historical_peak,historical_empirical,0.05,0.22999212888245535,0.7932736748748572,0.9492156341398564,0.7468776019983348,0.20233803214152168
1,historical_peak,historical_empirical,0.07,0.26342380395207277,0.8726105681750299,0.9393778250465303,0.704412989175687,0.23496483587084338
1,historical_peak,historical_empirical,0.1,0.2802738194975542,0.8961301399485301,0.9279446955596916,0.678601165695254,0.24934352986443764
1,historical_peak,hybrid_importance_sampling,0.03,0.021549942964196506,0.0735414843604604,0.8199425478767693,0.8209825145711906,-0.0010399666944213015
1,historical_peak,hybrid_importance_sampling,0.05,0.0209494310990841,0.06581357445713351,0.750335137385512,0.7468776019983348,0.003457535387177302
1,historical_peak,hybrid_importance_sampling,0.07,0.010344785595337217,0.04457444747139711,0.705849292256453,0.704412989175687,0.0014363030807660326
1,historical_peak,hybrid_importance_sampling,0.1,0.00673610782681099,0.022664259423643397,0.6759816819317236,0.678601165695254,-0.0026194837635303836
5,origin_peak,egarch_student_t,0.03,0.15414987698412697,0.4787709237361413,0.1818324979114453,0.19548872180451127,-0.013656223893065977
5,origin_peak,egarch_student_t,0.05,0.07451686111111111,0.3334157984961573,0.05456766917293233,0.0785296574770259,-0.023961988304093566
5,origin_peak,egarch_student_t,0.07,0.03654569047619048,0.23063580976778297,0.018546365914786967,0.036758563074352546,-0.01821219715956558
5,origin_peak,egarch_student_t,0.1,0.005550976399331663,0.06678496394881112,0.004327903091060985,0.005012531328320802,-0.0006846282372598165
5,origin_peak,residual_block_bootstrap,0.03,0.15021774143692565,0.46361906966323013,0.21112531328320802,0.19548872180451127,0.015636591478696754
5,origin_peak,residual_block_bootstrap,0.05,0.07377234983291563,0.31666590706315495,0.07585087719298245,0.0785296574770259,-0.002678780284043447
5,origin_peak,residual_block_bootstrap,0.07,0.03638721115288221,0.22021280910100344,0.02876148705096073,0.036758563074352546,-0.007997076023391815
5,origin_peak,residual_block_bootstrap,0.1,0.005888323308270676,0.06897619834015609,0.0073383458646616535,0.005012531328320802,0.0023258145363408518
5,origin_peak,hybrid_monte_carlo,0.03,0.1519135611946533,0.4696038216089751,0.19264452798663326,0.19548872180451127,-0.00284419381787801
5,origin_peak,hybrid_monte_carlo,0.05,0.07367061612364244,0.2972655656368717,0.0635873015873016,0.0785296574770259,-0.014942355889724299
5,origin_peak,hybrid_monte_carlo,0.07,0.03633209670008354,0.2080754718249958,0.02334294068504595,0.036758563074352546,-0.013415622389306596
5,origin_peak,hybrid_monte_carlo,0.1,0.0056737539682539685,0.06264097313137164,0.006067669172932331,0.005012531328320802,0.0010551378446115294
5,origin_peak,historical_empirical,0.03,0.16215645715051114,0.5074435824077602,0.2653713068937983,0.19548872180451127,0.06988258508928702
5,origin_peak,historical_empirical,0.05,0.07448223092823031,0.2861598658222659,0.12456747404844291,0.0785296574770259,0.04603781657141702
5,origin_peak,historical_empirical,0.07,0.03639213262180396,0.16671879543375984,0.06813947298376365,0.036758563074352546,0.0313809099094111
5,origin_peak,historical_empirical,0.1,0.005409288052403287,0.04413577792567455,0.02555230236891137,0.005012531328320802,0.020539771040590567
5,origin_peak,hybrid_importance_sampling,0.03,0.1519135611946533,0.4696038216089751,0.19264452798663326,0.19548872180451127,-0.00284419381787801
5,origin_peak,hybrid_importance_sampling,0.05,0.07367061612364244,0.2972655656368717,0.0635873015873016,0.0785296574770259,-0.014942355889724299
5,origin_peak,hybrid_importance_sampling,0.07,0.03633209670008354,0.2080754718249958,0.02334294068504595,0.036758563074352546,-0.013415622389306596
5,origin_peak,hybrid_importance_sampling,0.1,0.0056737539682539685,0.06264097313137164,0.006067669172932331,0.005012531328320802,0.0010551378446115294
5,historical_peak,egarch_student_t,0.03,0.052563776106933996,0.15092804703164883,0.8728078529657479,0.8688387635756056,0.0039690893901422886
5,historical_peak,egarch_student_t,0.05,0.043393333124477865,0.13995289707396302,0.791953634085213,0.7936507936507936,-0.001697159565580586
5,historical_peak,egarch_student_t,0.07,0.02792327276524644,0.09527737751627849,0.7343191311612365,0.7309941520467836,0.0033249791144528418
5,historical_peak,egarch_student_t,0.1,0.014075332289055973,0.054047374207720704,0.6914014202172097,0.6934001670843776,-0.0019987468671678332
5,historical_peak,residual_block_bootstrap,0.03,0.0507113245614035,0.14565822290201783,0.875264828738513,0.8688387635756056,0.006426065162907335
5,historical_peak,residual_block_bootstrap,0.05,0.043035771512113616,0.13520692770984158,0.7980994152046784,0.7936507936507936,0.004448621553884813
5,historical_peak,residual_block_bootstrap,0.07,0.02762038011695906,0.092020631450859,0.7403091060985798,0.7309941520467836,0.009314954051796165
5,historical_peak,residual_block_bootstrap,0.1,0.01414505200501253,0.05079943689137337,0.6941892230576442,0.6934001670843776,0.0007890559732666169
5,historical_peak,hybrid_monte_carlo,0.03,0.05170059461152882,0.1484745199241988,0.8732209690893902,0.8688387635756056,0.004382205513784543
5,historical_peak,hybrid_monte_carlo,0.05,0.04312037969924812,0.13716628254177995,0.7935137844611528,0.7936507936507936,-0.0001370091896407688
5,historical_peak,hybrid_monte_carlo,0.07,0.027618468671679202,0.09260327449347533,0.7362522974101922,0.7309941520467836,0.005258145363408517
5,historical_peak,hybrid_monte_carlo,0.1,0.014026682957393483,0.05170472435822024,0.6923817878028404,0.6934001670843776,-0.0010183792815371406
5,historical_peak,historical_empirical,0.03,0.12354042042073662,0.4757490229620286,0.9667287729571468,0.8688387635756056,0.09789000938154113
5,historical_peak,historical_empirical,0.05,0.19128916607947674,0.694641136733428,0.9595421879158901,0.7936507936507936,0.16589139426509647
5,historical_peak,historical_empirical,0.07,0.24517236928103844,0.8494085017398928,0.9512909236092628,0.7309941520467836,0.22029677156247918
5,historical_peak,historical_empirical,0.1,0.2715089257082357,0.8891485603442978,0.9361192440777215,0.6934001670843776,0.24271907699334394
5,historical_peak,hybrid_importance_sampling,0.03,0.05170059461152882,0.1484745199241988,0.8732209690893902,0.8688387635756056,0.004382205513784543
5,historical_peak,hybrid_importance_sampling,0.05,0.04312037969924812,0.13716628254177995,0.7935137844611528,0.7936507936507936,-0.0001370091896407688
5,historical_peak,hybrid_importance_sampling,0.07,0.027618468671679202,0.09260327449347533,0.7362522974101922,0.7309941520467836,0.005258145363408517
5,historical_peak,hybrid_importance_sampling,0.1,0.014026682957393483,0.05170472435822024,0.6923817878028404,0.6934001670843776,-0.0010183792815371406
10,origin_peak,egarch_student_t,0.03,0.2252788018036913,0.6477317510125531,0.38495679530201343,0.37583892617449666,0.009117869127516776
10,origin_peak,egarch_student_t,0.05,0.15623046098993287,0.5207915165582481,0.15698993288590604,0.19379194630872484,-0.0368020134228188
10,origin_peak,egarch_student_t,0.07,0.09870340687919463,0.4619694275011955,0.06638590604026846,0.10654362416107382,-0.04015771812080536
10,origin_peak,egarch_student_t,0.1,0.03850567659395974,0.28426542202920874,0.020005033557046976,0.03607382550335571,-0.01606879194630873
10,origin_peak,residual_block_bootstrap,0.03,0.22152376027684564,0.6338444008296447,0.4105625,0.37583892617449666,0.03472357382550334
10,origin_peak,residual_block_bootstrap,0.05,0.15243415037751679,0.4832251539703669,0.19805746644295302,0.19379194630872484,0.004265520134228179
10,origin_peak,residual_block_bootstrap,0.07,0.09704206837248323,0.4159077070897975,0.09706291946308726,0.10654362416107382,-0.009480704697986564
10,origin_peak,residual_block_bootstrap,0.1,0.03959320511744966,0.2584839500438588,0.035376677852349,0.03607382550335571,-0.000697147651006709
10,origin_peak,hybrid_monte_carlo,0.03,0.22223594022651008,0.6372481228171212,0.39925545302013427,0.37583892617449666,0.02341652684563761
10,origin_peak,hybrid_monte_carlo,0.05,0.15379589240771813,0.49479345778988526,0.17767994966442954,0.19379194630872484,-0.0161119966442953
10,origin_peak,hybrid_monte_carlo,0.07,0.09790032843959731,0.42468288257191106,0.08079865771812081,0.10654362416107382,-0.025744966442953016
10,origin_peak,hybrid_monte_carlo,0.1,0.038932131082214765,0.2586264789372446,0.026548238255033555,0.03607382550335571,-0.009525587248322153
