,rank_ic
2015-12-16,-0.10882352941176471
2015-12-17,-0.3205882352941176
2015-12-18,-0.19411764705882353
2015-12-21,-0.21470588235294116
2015-12-22,-0.2088235294117647
2015-12-23,-0.15588235294117647
2015-12-24,-0.09705882352941177
2015-12-25,0.055882352941176466
2015-12-28,0.0
2015-12-29,-0.19117647058823528
2015-12-30,-0.16764705882352943
2015-12-31,-0.28823529411764703
2016-01-04,-0.5588235294117647
2016-01-05,-0.29705882352941176
2016-01-06,-0.3323529411764706
2016-01-07,-0.5470588235294118
2016-01-08,-0.11470588235294117
2016-01-11,-0.07058823529411765
2016-01-12,-0.03529411764705882
2016-01-13,0.02058823529411765
2016-01-14,-0.2411764705882353
2016-01-15,-0.37058823529411766
2016-01-18,-0.14411764705882352
2016-01-19,-0.055882352941176466
2016-01-20,-0.1264705882352941
2016-01-21,0.19411764705882353
2016-01-22,0.4588235294117647
2016-01-25,0.3852941176470588
2016-01-26,0.09117647058823529
2016-01-27,0.12352941176470587
2016-01-28,0.3941176470588235
2016-01-29,0.11176470588235293
2016-02-01,0.2088235294117647
2016-02-02,0.08529411764705883
2016-02-03,0.02941176470588235
2016-02-04,0.22941176470588234
2016-02-05,0.25459903875752504
2016-02-15,0.2588235294117647
2016-02-16,0.11470588235294117
2016-02-17,0.18823529411764706
2016-02-18,0.31764705882352945
2016-02-19,0.19278886749847268
2016-02-22,0.10294117647058824
2016-02-23,0.005899730683441311
2016-02-24,-0.032352941176470584
2016-02-25,-0.055882352941176466
2016-02-26,-0.049999999999999996
2016-02-29,-0.3
2016-03-01,-0.1411764705882353
2016-03-02,-0.3764705882352941
2016-03-03,-0.42352941176470593
2016-03-04,-0.4676470588235294
2016-03-07,-0.5411764705882353
2016-03-08,-0.28823529411764703
2016-03-09,0.008823529411764706
2016-03-10,-0.13529411764705881
2016-03-11,-0.4176470588235294
2016-03-14,-0.17352941176470588
2016-03-15,-0.3764705882352941
2016-03-16,-0.22352941176470587
2016-03-17,-0.2029411764705882
2016-03-18,-0.17941176470588235
2016-03-21,-0.10882352941176471
2016-06-22,0.4558823529411765
2016-06-23,0.3147058823529411
2016-06-24,0.43267119881336624
2016-06-27,0.18235294117647058
2016-06-28,0.34411764705882353
2016-06-29,0.2676470588235294
2016-06-30,0.31764705882352945
