,rank_ic
2015-12-16,-0.008823529411764706
2015-12-17,-0.2029411764705882
2015-12-18,-0.12058823529411765
2015-12-21,-0.02941176470588235
2015-12-22,-0.11470588235294117
2015-12-23,-0.02058823529411765
2015-12-24,-0.023529411764705882
2015-12-25,-0.0411764705882353
2015-12-28,-0.07647058823529412
2015-12-29,-0.25
2015-12-30,-0.27941176470588236
2015-12-31,-0.4941176470588235
2016-01-04,-0.5764705882352941
2016-01-05,-0.4323529411764706
2016-01-06,-0.4794117647058824
2016-01-07,-0.7294117647058823
2016-01-08,-0.31176470588235294
2016-01-11,-0.22647058823529412
2016-01-12,-0.10588235294117648
2016-01-13,-0.044117647058823525
2016-01-14,-0.21470588235294116
2016-01-15,-0.37058823529411766
2016-01-18,-0.11470588235294117
2016-01-19,-0.0411764705882353
2016-01-20,-0.0411764705882353
2016-01-21,0.1764705882352941
2016-01-22,0.488235294117647
2016-01-25,0.3058823529411765
2016-01-26,0.21764705882352942
2016-01-27,0.22352941176470587
2016-01-28,0.4264705882352941
2016-01-29,0.21176470588235297
2016-02-01,0.22058823529411767
2016-02-02,0.09411764705882353
2016-02-03,0.09705882352941177
2016-02-04,0.21470588235294116
2016-02-05,0.20309056270831474
2016-02-15,0.1764705882352941
2016-02-16,0.15588235294117647
2016-02-17,0.17058823529411765
2016-02-18,0.17058823529411765
2016-02-19,0.06328184200331548
2016-02-22,0.044117647058823525
2016-02-23,-0.02949865341720655
2016-02-24,0.13529411764705881
2016-02-25,-0.07647058823529412
2016-02-26,0.09117647058823529
2016-02-29,-0.2411764705882353
2016-03-01,-0.16176470588235295
2016-03-02,-0.3294117647058824
2016-03-03,-0.4941176470588235
2016-03-04,-0.4852941176470588
2016-03-07,-0.5705882352941177
2016-03-08,-0.3323529411764706
2016-03-09,0.0411764705882353
2016-03-10,-0.11470588235294117
2016-03-11,-0.4294117647058823
2016-03-14,-0.25
2016-03-15,-0.6617647058823529
2016-03-16,-0.2676470588235294
2016-03-17,-0.27058823529411763
2016-03-18,-0.23823529411764705
2016-03-21,-0.09411764705882353
2016-06-22,0.3970588235294118
2016-06-23,0.28823529411764703
2016-06-24,0.38704940574120855
2016-06-27,0.07058823529411765
2016-06-28,0.32647058823529407
2016-06-29,0.23823529411764705
2016-06-30,0.2735294117647059
2016-07-01,0.2359892273376524
2016-07-04,0.22647058823529412
2016-07-05,0.32647058823529407
2016-07-06,0.19705882352941176
2016-07-07,0.19411764705882353
2016-07-08,0.27941176470588236
2016-07-11,0.2369389898263672
2016-07-12,0.2441176470588235
2016-07-13,0.22352941176470587
2016-07-14,0.4970588235294117
2016-07-15,0.27941176470588236
2016-07-18,0.4176470588235294
2016-07-19,0.3588235294117647
2016-07-20,0.28529411764705886
2016-07-21,0.3323529411764706
2016-07-22,-0.19999999999999998
2016-07-25,0.15
2016-07-26,0.26176470588235295
2016-07-27,0.27941176470588236
2016-07-28,0.049999999999999996
2016-07-29,0.39999999999999997
2016-08-01,0.4441176470588235
2016-08-02,0.17941176470588235
2016-08-03,0.38235294117647056
2016-08-04,0.19705882352941176
2016-08-05,0.2911764705882353
2016-08-08,0.4147058823529412
2016-08-09,0.4205882352941176
