removed_group,brier_without,brier_with_all,brier_degradation,auprc_without,auprc_with_all,auprc_degradation,n_features
spectral,0.20149704069287813,0.18739199553282848,0.01410504516004965,0.1135277120599949,0.11299412395222899,-0.0005335881077659088,60.0
centrality,0.18384648088763503,0.18739199553282848,-0.003545514645193454,0.11728511917492004,0.11299412395222899,-0.004290995222691052,60.0
community,0.1788271544096762,0.18739199553282848,-0.008564841123152284,0.1204639695771258,0.11299412395222899,-0.007469845624896804,60.0
