,rank_ic
2015-12-16,0.18529411764705883
2015-12-17,0.34705882352941175
2015-12-18,0.14705882352941177
2015-12-21,0.08823529411764705
2015-12-22,0.15882352941176472
2015-12-23,0.2441176470588235
2015-12-24,0.08823529411764705
2015-12-25,0.2911764705882353
2015-12-28,0.2529411764705882
2015-12-29,0.3205882352941176
2015-12-30,0.3235294117647059
2015-12-31,-0.14705882352941177
2016-01-04,-0.2029411764705882
2016-01-05,-0.2588235294117647
2016-01-06,-0.15
2016-01-07,-0.4911764705882353
2016-01-08,-0.3764705882352941
2016-01-11,-0.36470588235294116
2016-01-12,-0.3323529411764706
2016-01-13,-0.3852941176470588
2016-01-14,-0.4205882352941176
2016-01-15,-0.3323529411764706
2016-01-18,-0.36470588235294116
2016-01-19,-0.36470588235294116
2016-01-20,-0.27058823529411763
2016-01-21,-0.3323529411764706
2016-01-22,0.1764705882352941
2016-01-25,-0.023529411764705882
2016-01-26,0.0058823529411764705
2016-01-27,0.06176470588235294
2016-01-28,0.17352941176470588
2016-01-29,-0.047058823529411764
2016-02-01,0.17941176470588235
2016-02-02,0.16176470588235295
2016-02-03,0.37941176470588234
2016-02-04,0.40294117647058825
2016-02-05,0.43708621104615575
2016-02-15,0.3852941176470588
2016-02-16,0.2588235294117647
2016-02-17,0.18235294117647058
2016-02-18,0.3205882352941176
2016-02-19,0.37380436904284026
2016-02-22,0.2676470588235294
2016-02-23,0.2064905739204459
2016-02-24,0.2088235294117647
2016-02-25,0.39999999999999997
2016-02-26,0.12352941176470587
2016-02-29,0.15294117647058825
2016-03-01,-0.06764705882352941
2016-03-02,-0.24705882352941175
2016-03-03,-0.25588235294117645
2016-03-04,-0.07647058823529412
2016-03-07,-0.15882352941176472
2016-03-08,0.12352941176470587
2016-03-09,0.35000000000000003
2016-03-10,0.2352941176470588
2016-03-11,-0.07352941176470588
2016-03-14,0.19411764705882353
2016-03-15,0.15882352941176472
2016-03-16,0.28823529411764703
2016-03-17,0.34411764705882353
2016-03-18,0.2352941176470588
2016-03-21,0.4911764705882353
2016-06-22,0.4088235294117647
2016-06-23,0.4441176470588235
2016-06-24,0.35467264936741927
2016-06-27,0.02058823529411765
2016-06-28,0.33529411764705885
2016-06-29,0.29705882352941176
2016-06-30,0.3
2016-07-01,0.24778868870453502
2016-07-04,0.45
2016-07-05,0.42352941176470593
2016-07-06,0.3970588235294118
2016-07-07,0.3235294117647059
2016-07-08,0.34705882352941175
2016-07-11,0.37380436904284026
