step,estimated_trading_date,mean,median,lower_50,upper_50,lower_80,upper_80,lower_90,upper_90,lower_95,upper_95,expected_volatility,probability_bull,probability_sideway,probability_bear,probability_stress
1,2026-07-14,1802.6024656632155,1803.4315731841684,1791.308598766246,1815.0362898081598,1778.2854494939882,1825.7847336775067,1769.5932488422718,1833.2889931142126,1759.1989447750323,1839.8917103162764,0.011116903735151751,0.942925,0.032350000000000004,0.024725,0.0
2,2026-07-15,1804.1247114170662,1805.1603637014914,1786.816425829706,1823.122177590335,1766.9498818058787,1839.8124706944905,1754.3556590632136,1849.2474496219043,1741.3680958735993,1859.3716865527683,0.01638140482650446,0.883775,0.07012499999999999,0.044575,0.001525
3,2026-07-16,1805.5000917065877,1806.756649843563,1782.8217318033267,1829.5715122411675,1758.7651536270764,1850.48247884203,1743.5842153964513,1863.5337660483594,1729.2043260223613,1875.7419465223822,0.020123008944130428,0.825275,0.110225,0.058775,0.005725
4,2026-07-17,1806.8779010770809,1808.0239002786311,1779.2896133037987,1835.2536987503586,1752.178837623849,1859.996440316094,1734.5145818858284,1875.727622744916,1718.0734347794705,1889.8843026900531,0.02320526728864831,0.76915,0.15225,0.0668,0.0118
5,2026-07-20,1808.3904582484852,1809.5224717200308,1777.0612786775564,1840.3241910269628,1746.503111518027,1868.9783649921646,1727.6689608650386,1886.9907424916216,1709.627960095013,1902.8336594056705,0.02552120996018599,0.711175,0.1983,0.071825,0.0187
6,2026-07-21,1809.8134977258624,1810.2813287002118,1775.149743958305,1845.0475309824092,1741.903267844553,1876.6142436883026,1721.052620385149,1897.1407015888572,1703.3281779033962,1914.7448292371796,0.027810760245581646,0.6569,0.24464999999999998,0.071875,0.026575
7,2026-07-22,1811.128495775975,1811.398096952233,1772.963441544557,1849.3140084411816,1737.3800227563843,1884.0739589062293,1715.6707594501038,1905.9329283658228,1696.9115966325767,1924.8646232426263,0.030131787769050986,0.59975,0.294625,0.071875,0.03375
8,2026-07-23,1812.4021992135513,1812.2029834009181,1771.487639548693,1853.301843380348,1733.545197316225,1891.4470336451834,1711.0008029536075,1914.968674932065,1690.4678779287367,1936.1455783914805,0.032162595997328305,0.5474,0.342375,0.0677,0.042525
9,2026-07-24,1813.608866083406,1812.8953466945557,1769.986929390781,1856.9045761878835,1729.9720480081673,1897.983861723865,1705.4491141502115,1923.4543798761706,1684.6107652975736,1945.5222871915626,0.03421031826360276,0.493625,0.3926,0.063225,0.05055
10,2026-07-27,1815.0920722044555,1814.0052398040566,1768.6654794850456,1861.24825107265,1727.350829743606,1904.201680771066,1701.030036659825,1930.8050983532337,1678.686016941363,1956.3299425582186,0.03593888926636577,0.441525,0.441875,0.058675,0.057925
11,2026-07-28,1816.3960583775104,1815.4799431089887,1767.4404198369348,1864.7157137093097,1723.8803702429836,1909.9365670593606,1697.7303851992501,1937.9761546818243,1674.1140918057058,1963.9663322218632,0.03741495477968457,0.39425,0.490275,0.05175,0.063725
12,2026-07-29,1817.6019557049822,1816.9003220494449,1765.893689047949,1867.6729423071508,1720.8022729690263,1915.8568820140974,1693.952484764301,1945.7433193513007,1669.5141048517917,1971.7934636809343,0.03874419274882014,0.354325,0.529325,0.047975,0.068375
13,2026-07-30,1819.061064094238,1817.839873319529,1765.3190877667926,1871.0149890910707,1718.5440709499512,1921.3610000361323,1689.8857941096483,1953.0794491465485,1665.5582987866042,1979.5179937735977,0.04072513444074105,0.3161,0.5693,0.04415,0.07045
14,2026-07-31,1820.3403954873293,1819.0674973749244,1764.5450946631126,1874.0634579336213,1716.2553828873217,1926.4913329391172,1686.920830901497,1959.0995164063881,1661.5777385726126,1986.4445827856937,0.04219548147738668,0.285225,0.600575,0.0421,0.0721
15,2026-08-03,1821.7194015783905,1820.1466432970294,1764.2132450111733,1877.7564088946544,1713.695286759153,1932.3361986074262,1684.1090178248273,1964.8615198445452,1657.897338994128,1994.605446521306,0.04339100273725783,0.25625,0.6321749999999999,0.0404,0.071175
16,2026-08-04,1823.0452805482491,1821.244745480828,1763.9910635197593,1880.5946747345963,1711.7302440723518,1937.0099059237061,1679.8911768235273,1971.0161372201073,1653.4022824237366,2001.7701273400462,0.045232423433376766,0.23565,0.659375,0.036775,0.0682
17,2026-08-05,1824.3777286528616,1822.8226897887457,1762.7806225979189,1883.8267606672562,1709.658315418632,1942.0535791848044,1676.640269745342,1976.2896411919116,1648.8061268211031,2007.8705885032539,0.046513671294195036,0.22125,0.6779000000000001,0.036525,0.064325
18,2026-08-06,1825.6104559470057,1823.9527763060446,1762.5425093869178,1887.0174221219625,1706.9077843266293,1946.3153208478668,1673.7577892038812,1982.0794163764529,1645.9235460744228,2015.2862086736095,0.04810039121225749,0.211,0.6916,0.03575,0.06165
19,2026-08-07,1826.8954347491194,1825.1687673521074,1760.9366205054766,1890.1962785349933,1704.5356301400104,1950.5890615741662,1671.2044344498722,1988.889709318174,1642.7101721666459,2023.4765975680405,0.049934133687812354,0.20505,0.702025,0.03545,0.057475
20,2026-08-10,1828.1136868778876,1826.4086991754782,1760.8571679670426,1893.2045614229924,1702.36873054443,1955.0661035436403,1668.9101769002264,1993.8788177703373,1640.479289509444,2029.7079530633775,0.05115201172601182,0.206625,0.70585,0.034925,0.0526
