step,drawdown_mean,drawdown_median,drawdown_q025,drawdown_q05,drawdown_q10,drawdown_q25,drawdown_q75,drawdown_q90,drawdown_q95,drawdown_q975,drawdown_lower_50,drawdown_upper_50,drawdown_lower_80,drawdown_upper_80,drawdown_lower_90,drawdown_upper_90,drawdown_lower_95,drawdown_upper_95,running_mdd_mean,running_mdd_median,running_mdd_q90,running_mdd_q95,running_mdd_q99,probability_breach_3,probability_breach_5,probability_breach_7,probability_breach_10,probability_breach_15,anchor_mode,estimated_trading_date
1,0.06501209891190714,0.06458106933609542,0.0456696212972,0.04909437372832511,0.05298674560540959,0.058561838123510235,0.07086911482398528,0.07762407051361142,0.08213261364862401,0.08752401798031462,0.058561838123510235,0.07086911482398528,0.05298674560540959,0.07762407051361142,0.04909437372832511,0.08213261364862401,0.0456696212972,0.08752401798031462,0.06501209891190714,0.06458106933609542,0.07762407051361142,0.08213261364862401,0.09396578787468679,0.997175,0.94455,0.278225,0.003225,0.0,rolling_peak,2026-07-14
2,0.06422325680598792,0.0636843658508609,0.03556558474186529,0.040816908398651264,0.04571072196515954,0.05436778240488038,0.07319915255158038,0.08350369731118258,0.0900361738107962,0.09677267141425605,0.05436778240488038,0.07319915255158038,0.04571072196515954,0.08350369731118258,0.040816908398651264,0.0900361738107962,0.03556558474186529,0.09677267141425605,0.06865451788125637,0.06740424168046688,0.08476194780108814,0.09096203102121547,0.10502027799938995,0.998,0.959075,0.4071,0.018425,2.5e-05,rolling_peak,2026-07-15
3,0.06351185223380255,0.06285639084019062,0.027074521757740277,0.0334067626335054,0.040176313141472166,0.05102258771477983,0.07527115376862001,0.08774902039115512,0.09562319605565973,0.10308187701776969,0.05102258771477983,0.07527115376862001,0.040176313141472166,0.08774902039115512,0.0334067626335054,0.09562319605565973,0.027074521757740277,0.10308187701776969,0.07132676362190751,0.06940295548913111,0.09009386070211323,0.09768904067432234,0.11406495796976021,0.998275,0.96505,0.481775,0.039375,0.0001,rolling_peak,2026-07-16
4,0.06281102404254864,0.0621990828144906,0.019759348504567266,0.02708195133410991,0.03524153224888006,0.04807530382150971,0.07710322245308532,0.09116526571166692,0.10032750921406874,0.10885534052954421,0.04807530382150971,0.07710322245308532,0.03524153224888006,0.09116526571166692,0.02708195133410991,0.10032750921406874,0.019759348504567266,0.10885534052954421,0.07353255309856846,0.07110773080896277,0.09449632894294464,0.10270905596336935,0.12099991890059593,0.99855,0.969275,0.53335,0.063875,0.0002,rolling_peak,2026-07-17
5,0.06207800307044183,0.061421791279795634,0.013126773286773103,0.02124693865878593,0.030585111008562104,0.04544529859489255,0.07825903364339323,0.09410919866903171,0.10387825302393294,0.11323590978193677,0.04544529859489255,0.07825903364339323,0.030585111008562104,0.09410919866903171,0.02124693865878593,0.10387825302393294,0.013126773286773103,0.11323590978193677,0.07534369879353513,0.07254046626842514,0.09833623658790155,0.10722592643934484,0.12636321679641724,0.998675,0.972025,0.569075,0.08745,0.00075,rolling_peak,2026-07-20
6,0.06143743329711786,0.06102818101174734,0.00743279862842144,0.016068601186335303,0.02665138686642816,0.04299535722978462,0.07925052441553945,0.09649508395253331,0.10731007169043176,0.11650353335508562,0.04299535722978462,0.07925052441553945,0.02665138686642816,0.09649508395253331,0.016068601186335303,0.10731007169043176,0.00743279862842144,0.11650353335508562,0.07697202462795025,0.07373677506854787,0.101608663614388,0.11131308893386344,0.1312978102205794,0.99875,0.97395,0.5964,0.112075,0.0015,rolling_peak,2026-07-21
7,0.0609040570896254,0.06044892633991056,0.003202854382017875,0.011740856886642993,0.022794509023314057,0.0407865485698963,0.08038453398728337,0.0988412384429057,0.1101015802099112,0.1198317392488476,0.0407865485698963,0.08038453398728337,0.022794509023314057,0.0988412384429057,0.011740856886642993,0.1101015802099112,0.003202854382017875,0.1198317392488476,0.07843392651844318,0.07501020118314988,0.10479087799380271,0.11470064912897134,0.13576004451588364,0.9988,0.975225,0.619675,0.134325,0.002775,rolling_peak,2026-07-22
8,0.06045333170110042,0.06003227088150259,0.0,0.008047630229398984,0.019163091331160897,0.03872737127674142,0.08115001527604945,0.1008303176881931,0.11252383219726368,0.12317402101271996,0.03872737127674142,0.08115001527604945,0.019163091331160897,0.1008303176881931,0.008047630229398984,0.11252383219726368,0.0,0.12317402101271996,0.07976636549687238,0.07602651208358302,0.10749765726932209,0.11813876718662886,0.1394622810786684,0.99895,0.976075,0.63925,0.154325,0.004225,rolling_peak,2026-07-23
9,0.06009266719253457,0.05967265955296541,0.0,0.004980044490384694,0.016105671578158964,0.036922487483491334,0.08192841613806409,0.10268366857466138,0.11540342845202053,0.12621203704597989,0.036922487483491334,0.08192841613806409,0.016105671578158964,0.10268366857466138,0.004980044490384694,0.11540342845202053,0.0,0.12621203704597989,0.08101325842862611,0.07694604954429574,0.10994630544802972,0.12118782960565105,0.14363354084065927,0.999,0.977125,0.65475,0.174125,0.005775,rolling_peak,2026-07-24
10,0.05964491532519295,0.05911859518725254,0.0,0.0029375247793626325,0.013438804189069299,0.034678374744653157,0.08261383679728329,0.104043263927505,0.11769555242392131,0.1292851349412518,0.034678374744653157,0.08261383679728329,0.013438804189069299,0.104043263927505,0.0029375247793626325,0.11769555242392131,0.0,0.1292851349412518,0.08216253426495537,0.07788812167619014,0.11224262812319036,0.1242707358360831,0.14712315976491158,0.999075,0.97815,0.667575,0.19165,0.00785,rolling_peak,2026-07-27
11,0.059322576169278024,0.05835272386207213,0.0,0.0013920276187180392,0.011338285975059448,0.03298920821369214,0.08325592537230894,0.10584335080812492,0.11940704316563269,0.13165653920469217,0.03298920821369214,0.08325592537230894,0.011338285975059448,0.10584335080812492,0.0013920276187180392,0.11940704316563269,0.0,0.13165653920469217,0.0832349829237106,0.07877326464247808,0.11454559938313146,0.12681702379741758,0.14977226108093952,0.9992,0.9792,0.6786,0.20815,0.01,rolling_peak,2026-07-28
12,0.05910716744347097,0.057650418049424834,0.0,0.0,0.009550246263936002,0.031536998242580355,0.08405472431232397,0.10743992397635506,0.12136659607441042,0.1340424988060875,0.031536998242580355,0.08405472431232397,0.009550246263936002,0.10743992397635506,0.0,0.12136659607441042,0.0,0.1340424988060875,0.08423925942382457,0.07952566327950716,0.11677647761543232,0.12920058972422352,0.15317826655803005,0.999225,0.9801,0.688675,0.223325,0.0125,rolling_peak,2026-07-29
13,0.05880399834198695,0.05716199415718748,0.0,0.0,0.008344497490013869,0.030106364759566906,0.0843803025186072,0.10861122703509903,0.12347594110312131,0.13609432929105467,0.030106364759566906,0.0843803025186072,0.008344497490013869,0.10861122703509903,0.0,0.12347594110312131,0.0,0.13609432929105467,0.08519148621291435,0.0802335801122967,0.11876996960451022,0.1314601602445144,0.15603324469674007,0.99925,0.9809,0.69775,0.238175,0.01565,rolling_peak,2026-07-30
14,0.058614676313950134,0.05660574034927529,0.0,0.0,0.007213393039845229,0.02879360739768569,0.08476514750127506,0.10979834284919568,0.12501383295045637,0.13815899946439597,0.02879360739768569,0.08476514750127506,0.007213393039845229,0.10979834284919568,0.0,0.12501383295045637,0.0,0.13815899946439597,0.08610828192300549,0.0809977116466305,0.12045596120622341,0.13388071932073456,0.1594123542779844,0.9993,0.9815,0.706025,0.252025,0.01935,rolling_peak,2026-07-31
15,0.05840553187631659,0.0561012658697686,0.0,0.0,0.0063414775254830085,0.027452754587142802,0.08493980593305894,0.11112623486252006,0.12647228761018112,0.1400679798156956,0.027452754587142802,0.08493980593305894,0.0063414775254830085,0.11112623486252006,0.0,0.12647228761018112,0.0,0.1400679798156956,0.08695938957290474,0.08169211821523481,0.12236372096792517,0.13593683605194312,0.16199697351419723,0.999375,0.982175,0.712925,0.264025,0.021925,rolling_peak,2026-08-03
16,0.05824999161540691,0.05559198108591468,0.0,0.0,0.00548328074539568,0.026244426594518644,0.08507226322504208,0.11217195078202012,0.12866003256142447,0.14239951325054906,0.026244426594518644,0.08507226322504208,0.00548328074539568,0.11217195078202012,0.0,0.12866003256142447,0.0,0.14239951325054906,0.08780583840925887,0.08232102860643398,0.12409133646963352,0.13794137434230905,0.16441453169914647,0.9994,0.9826,0.720325,0.2764,0.025325,rolling_peak,2026-08-04
