,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE,key
2026-07-13,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,equal_weight__sample
2026-07-13,0.03230414838465828,0.029704167226249696,0.031788407429939575,0.026311413023348502,0.05011880502774805,0.03090374266399224,0.018459971099239688,0.020326934649332776,0.0379038359410336,0.046044940359771296,0.021652228073286435,0.052831344843782976,0.03891852147589934,0.027736657226088125,0.01787773125427219,0.03307641830267684,0.0463762530947077,0.036499669327703925,0.0380452939010119,0.022909167137942634,0.03791632485946169,0.04357644153586835,0.03711568053097372,0.015509751018284765,0.04187710717718733,0.01837713290828797,0.027505260863373935,0.06530912603794972,0.03624661458765243,0.016776910038274254,inverse_volatility__sample
2026-07-13,0.02286891047525983,0.03077012760700813,0.02939090867703063,0.024326992128725845,0.046338817847951776,0.025457283566999882,0.01912242353131279,0.02105638472391042,0.03504510828695478,0.03793000466995442,0.017836250965202725,0.037400623633026736,0.032059542042936325,0.022848363574678617,0.018519289493213836,0.030581777078320514,0.03283090355988287,0.037809492327209995,0.02693321024492296,0.01887166776061487,0.03927698579892864,0.03084884728883432,0.03431639598101647,0.016066332186677506,0.029645846211280285,0.01513835682238677,0.019471658586792995,0.19999999999999998,0.02985853059722637,0.01737896433173868,community_risk_parity__sample
2026-07-13,0.03026167518445131,0.01795623052102625,0.020885347913668955,0.030098611333256385,0.028366513907391824,0.03574392839637962,0.03025817701095979,0.017755506914539025,0.029466130496300397,0.03804684387475924,0.04603062383562127,0.04157915709744047,0.03188304464182496,0.030067388543532733,0.030156848933327502,0.06533948107996795,0.037826857114245056,0.04509999052025136,0.026428259918472013,0.03138584721275997,0.03269316313998733,0.0309970077981011,0.033072541569158904,0.03761790894097291,0.024650292059535454,0.030188958337873523,0.035086503386778455,0.06776861098017282,0.0236179602831103,0.019670589054133117,risk_parity__sample
2026-07-13,0.030789485570782343,0.019126915309093256,0.022120473848076957,0.030190982122016166,0.030196978850286736,0.035610217357855946,0.028541226531910224,0.01836120834611289,0.03064384350710407,0.039108671104169546,0.041487177543362785,0.0426561285528383,0.03298143922939517,0.029789894822779817,0.028249439417570556,0.05960172617123161,0.0389533257851847,0.043916116464025184,0.027645446388351428,0.031045038454667828,0.033809517612962435,0.03234201917966359,0.0342794146464838,0.033522940577490466,0.02608519557980207,0.02984670999588573,0.034302589053892746,0.06949817612178676,0.024938332404019874,0.020359369451197123,risk_parity__ledoit_wolf
2026-07-13,0.030297097691593514,0.018231632850965334,0.020924246290098366,0.02988590524616491,0.029012864614795807,0.035856939307076584,0.030184605132260345,0.017903752451106848,0.02926367444302799,0.03855832434856967,0.04557236114255098,0.041266876439762096,0.03229602330930825,0.02949020756381986,0.028930034150614774,0.06410446852519157,0.03789834708324815,0.043762767007094035,0.026256721845114937,0.031914311644505276,0.03283894126420932,0.031193118335650298,0.032917426704263446,0.03747454504233138,0.024978250345835295,0.029936737332714892,0.034638112523230936,0.07047810865407969,0.02415665221744347,0.019776946493372128,risk_parity__glasso
2026-07-13,0.03230414838465828,0.029704167226249703,0.03178840742993958,0.026311413023348506,0.050118805027748056,0.030903742663992248,0.01845997109923969,0.02032693464933278,0.03790383594103361,0.046044940359771316,0.021652228073286442,0.05283134484378299,0.038918521475899345,0.02773665722608813,0.017877731254272198,0.033076418302676845,0.046376253094707706,0.03649966932770393,0.03804529390101191,0.022909167137942634,0.0379163248594617,0.043576441535868364,0.03711568053097373,0.01550975101828477,0.04187710717718734,0.018377132908287977,0.027505260863373935,0.06530912603794974,0.036246614587652444,0.016776910038274254,risk_parity__diagonal
2026-07-13,0.0,0.0,5.979823718642095e-18,0.017455226129290815,3.7594837164627624e-18,0.058742133087200506,0.024804949502389807,2.824369244530795e-18,1.2312842025446697e-17,0.02812212834291888,0.0566315973711742,0.13896787048062909,0.02149171210348124,0.0037096597308643813,0.041347277092601345,0.12523358922399452,0.08156016963620417,0.07022957501998187,0.0,0.01734192685091715,0.01628434230696086,0.0,0.0,0.052717068454175654,9.346593224864171e-19,0.003326334303141056,0.04203444036407437,0.2,2.840131266964766e-18,0.0,minimum_variance__sample
2026-07-13,0.0,2.4557301471250556e-18,4.136599999852917e-18,0.026529810600876322,7.346864996959443e-19,0.05056788005312217,0.025617488059613527,0.0,0.00427917841048562,0.05573086211634781,0.045634522060053785,0.12714300200779766,0.029450510804283892,0.0021298634098851237,0.029938788139559015,0.10330056785491284,0.077328936827853,0.06171659360089283,0.0,0.02185331773128382,0.025570541473241868,0.02887263554689368,0.00042205489207306813,0.033917315490219875,0.0,0.02062554817918949,0.029370582741414623,0.20000000000000007,0.0,2.8960708254584707e-19,minimum_variance__ledoit_wolf
2026-07-13,1.189086538741619e-17,2.6452107170630682e-18,0.0,0.0172097968099707,0.0,0.05575262415282196,0.036243009951138314,0.0,1.116656106751376e-17,0.05962478662586736,0.052692843762145856,0.13705109523438708,0.011663877672959372,1.3762076230339918e-18,0.027396050639443285,0.12268686720237044,0.07738868032464362,0.0711738186927296,0.0,0.02163017376249895,0.011741421292529461,0.0019066423839039844,5.714488339943927e-18,0.046717738491937236,0.0,0.011274906446797794,0.037845666553854886,0.2,1.8300462528377854e-19,3.741107693363273e-18,minimum_variance__glasso
