rule,estimator,key,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,downside_deviation,var_95_daily,cvar_95_daily,skew,excess_kurtosis,hit_rate,n_days,mean_effective_n_bets,mean_effective_n_weights,mean_diversification_ratio,mean_max_weight,mean_max_risk_contribution,mean_ex_ante_volatility_annual,mean_condition_number,mean_off_diagonal_zeros,mean_turnover_traded,mean_forecast_log_likelihood,n_rebalances,annual_cost_drag,realized_over_ex_ante_volatility
minimum_variance,ledoit_wolf,minimum_variance__ledoit_wolf,0.14408133489368957,0.16443091610858573,0.8762423655083339,0.8268383583998608,-0.4131037530659124,0.3487775984225948,0.17425574591450138,-0.014613048011205842,-0.025479361797262474,-0.6433077991974606,5.802327578059263,0.5440969287123133,3549,5.962678581693261,7.479296941982869,2.1058452135885757,0.19667989236421074,0.19490484861918245,0.11661920363452362,79.95031251324782,0.0,0.5146701827848563,61.6468484857522,178,0.009727266454633784,1.409981469466218
minimum_variance,glasso,minimum_variance__glasso,0.14203796344182118,0.16455967983360345,0.8631395223024535,0.8216736356826473,-0.4222504807883666,0.3363831893728763,0.17286420943008096,-0.01460583142105771,-0.025345350253834352,-0.6083360398045526,5.657060268515378,0.5384615384615384,3549,5.347606767304622,6.90837760045666,1.983624443246035,0.19883552670516771,0.2021895860081919,0.12299153235401937,126.39288636464825,0.22660682153065764,0.5404613448258395,59.75133262363145,178,0.010214719417208366,1.3379756856751255
minimum_variance,sample,minimum_variance__sample,0.1445140888341061,0.16495323373420168,0.8760912748577557,0.8334059374823733,-0.41715211010142095,0.346430199763273,0.1734017989728596,-0.014576626028799061,-0.025355957787795022,-0.6022876028697395,5.632360567784774,0.5401521555367709,3549,5.146836587976582,6.795576293877584,1.99217997972854,0.1991980933151959,0.20481878418503321,0.12304645741331595,325.37387386054814,0.0,0.5552348144836128,51.56808716784847,178,0.010493937993740283,1.3405768617955403
minimum_variance,diagonal,minimum_variance__diagonal,0.16262376905134124,0.18499447100451902,0.8790736726794861,0.8087292671699975,-0.4376251724363368,0.3716051527520365,0.20108554945762486,-0.01680721208749676,-0.030228393779828423,-0.7732369901172546,5.471746816357232,0.5511411665257819,3549,20.427937724640877,17.43873853508104,4.641925411874389,0.13024625674949303,0.12269507002054056,0.05747874019037634,11.774117604760944,1.0,0.24335554293772038,57.77831496070733,178,0.0045994197615229155,3.218485137144544
risk_parity,sample,risk_parity__sample,0.16192247809408755,0.18529873373656963,0.8738455726539665,0.7969636721451182,-0.41479486644017716,0.39036760383205094,0.20317422707393276,-0.017118222580629294,-0.030228576386546795,-0.7497526748077135,5.067705347274432,0.5579036348267118,3549,1.7562591414607167,19.535432715389565,1.8594363184442781,0.11251032833634798,0.04641921933410036,0.1621161825640014,325.37387386054814,0.0,0.19893697254657108,51.56808716784847,178,0.0037599087811301933,1.1429996117964105
risk_parity,glasso,risk_parity__glasso,0.16147070499009075,0.18535926514468373,0.8711229237127879,0.7940935791978453,-0.4157418053960773,0.38839179244016026,0.2033396431100735,-0.017119390007523518,-0.03024192639805239,-0.7507516329602162,5.072005348517333,0.5581854043392505,3549,1.7595099925291995,19.57363224139702,1.8692694273353887,0.1120044949039895,0.04641921933393266,0.16125647092241127,126.39288636464825,0.22660682153065764,0.1977850603190825,59.75133262363145,178,0.0037381376400306586,1.1494686947097432
risk_parity,ledoit_wolf,risk_parity__ledoit_wolf,0.16126605633088675,0.18585578634583358,0.8676945684693875,0.7919602694921363,-0.4158257264973193,0.38782125793250166,0.20362897299671678,-0.017223339639908866,-0.030325344183524217,-0.7540655906644037,5.079723585287182,0.5567765567765568,3549,1.9762683000294172,19.902950980514184,2.0450135062040125,0.10769931848804053,0.04641921933370826,0.14924656430476987,79.95031251324782,0.0,0.187655851548685,61.6468484857522,178,0.003546695594270145,1.2452935664656617
inverse_volatility,sample,inverse_volatility__sample,0.1615217780190943,0.19337547293394167,0.8352754130006508,0.7625771152675784,-0.4357674852591773,0.37066046339604136,0.21181041862555552,-0.01782692862889571,-0.03171772068790585,-0.7604059163308043,5.00850198426693,0.5548041701887856,3549,1.4395266367816433,21.865462857837972,1.7084469543996192,0.08502809922240084,0.06434505935142863,0.17533679983845862,325.37387386054814,0.0,0.14404026934162556,51.56808716784847,178,0.0027223610905567227,1.1028801319067214
risk_parity,diagonal,risk_parity__diagonal,0.1615217780190943,0.19337547293394167,0.8352754130006508,0.7625771152675784,-0.4357674852591772,0.3706604633960415,0.21181041862555552,-0.017826928628895705,-0.03171772068790585,-0.7604059163308045,5.008501984266932,0.5548041701887856,3549,23.83146067415729,21.865462857837976,4.825893919737729,0.08502809922240084,0.046419219328861,0.0598843900020382,11.774117604760944,1.0,0.14404026934162556,57.77831496070733,178,0.0027223610905567227,3.2291465760502867
community_risk_parity,sample,community_risk_parity__sample,0.15536787246748052,0.1952747898348601,0.7956371255033584,0.7294289450232889,-0.47971750557448367,0.3238736770329454,0.2129993243721909,-0.017968808365900642,-0.031812979654349476,-0.7431903240561498,5.046463833785051,0.5525500140884756,3549,1.624589175293748,17.614262999268107,1.682564812395873,0.13671975994134086,0.14640250115260955,0.1780791345026233,325.37387386054814,0.0,0.46391776884165475,51.56808716784847,178,0.008768045831107277,1.0965618761583968
equal_weight,sample,equal_weight__sample,0.16121386525524528,0.2034470207724457,0.7924120227622407,0.7226091665706939,-0.42556131562256405,0.3788264095842489,0.22309966813778787,-0.019337018294134017,-0.0333001180438107,-0.7138088620316455,4.457084653126747,0.5559312482389406,3549,1.2415006593081275,23.831460674157302,1.7049293748326335,0.04641921932886099,0.08327709374555775,0.19027507786623654,325.37387386054814,0.0,0.06466522189539477,51.56808716784847,178,0.001222172693822961,1.0692257917007346
