date,equal_weight__sample,inverse_volatility__sample,community_risk_parity__sample,risk_parity__sample,risk_parity__ledoit_wolf,risk_parity__glasso,risk_parity__diagonal,minimum_variance__sample,minimum_variance__ledoit_wolf,minimum_variance__glasso,minimum_variance__diagonal
2012-05-03,,,,,,,,,,,
2012-05-04,,,,,,,,,,,
2012-05-07,,,,,,,,,,,
2012-05-08,,,,,,,,,,,
2012-05-09,,,,,,,,,,,
2012-05-10,,,,,,,,,,,
2012-05-11,,,,,,,,,,,
2012-05-14,,,,,,,,,,,
2012-05-15,,,,,,,,,,,
2012-05-16,,,,,,,,,,,
2012-05-17,,,,,,,,,,,
2012-05-18,,,,,,,,,,,
2012-05-21,,,,,,,,,,,
2012-05-22,,,,,,,,,,,
2012-05-23,,,,,,,,,,,
2012-05-24,,,,,,,,,,,
2012-05-25,,,,,,,,,,,
2012-05-28,,,,,,,,,,,
2012-05-29,,,,,,,,,,,
2012-05-30,,,,,,,,,,,
2012-05-31,,,,,,,,,,,
2012-06-01,,,,,,,,,,,
2012-06-04,,,,,,,,,,,
2012-06-05,,,,,,,,,,,
2012-06-06,,,,,,,,,,,
2012-06-07,,,,,,,,,,,
2012-06-08,,,,,,,,,,,
2012-06-11,,,,,,,,,,,
2012-06-12,,,,,,,,,,,
2012-06-13,,,,,,,,,,,
2012-06-14,,,,,,,,,,,
2012-06-15,,,,,,,,,,,
2012-06-18,,,,,,,,,,,
2012-06-19,,,,,,,,,,,
2012-06-20,,,,,,,,,,,
2012-06-21,,,,,,,,,,,
2012-06-22,,,,,,,,,,,
2012-06-25,,,,,,,,,,,
2012-06-26,,,,,,,,,,,
2012-06-27,,,,,,,,,,,
2012-06-28,,,,,,,,,,,
2012-06-29,,,,,,,,,,,
2012-07-02,,,,,,,,,,,
2012-07-03,,,,,,,,,,,
2012-07-04,,,,,,,,,,,
2012-07-05,,,,,,,,,,,
2012-07-06,,,,,,,,,,,
2012-07-09,,,,,,,,,,,
2012-07-10,,,,,,,,,,,
2012-07-11,,,,,,,,,,,
2012-07-12,,,,,,,,,,,
2012-07-13,,,,,,,,,,,
2012-07-16,,,,,,,,,,,
2012-07-17,,,,,,,,,,,
2012-07-18,,,,,,,,,,,
2012-07-19,,,,,,,,,,,
2012-07-20,,,,,,,,,,,
2012-07-23,,,,,,,,,,,
2012-07-24,,,,,,,,,,,
2012-07-25,,,,,,,,,,,
2012-07-26,,,,,,,,,,,
2012-07-27,,,,,,,,,,,
2012-07-30,0.19449118796155226,0.16993936529766232,0.16898817265559823,0.1623831850440404,0.16278602466425465,0.1623095235729314,0.16993936529766232,0.12150520401488106,0.12217456850461547,0.12239609994345928,0.15309649663840794
2012-07-31,0.19301897070427898,0.16859674929699492,0.16765237414522002,0.16109490630708534,0.16149466384845568,0.16102163399283867,0.16859674929699492,0.12062829405010775,0.12128399998995908,0.12151726209041891,0.15187658598936138
2012-08-01,0.19200572536957716,0.1675928507254741,0.16688984813795724,0.16006772219026996,0.16046933779673234,0.1599956097015761,0.1675928507254741,0.11977174437793858,0.12043156818246253,0.12064787095690935,0.15097594669971953
2012-08-02,0.1913541292408888,0.1678682343096671,0.16732999842356897,0.16063529718220007,0.1610256571358181,0.16056607169578735,0.1678682343096671,0.12294860341704558,0.12363681143018228,0.12379535495963206,0.1523912434526062
2012-08-03,0.19014464399946338,0.16739245289191876,0.16770102708379012,0.1601753496363466,0.16057079673378086,0.16012104524044513,0.16739245289191876,0.12345454593936171,0.12413271955423633,0.1243059509923344,0.15271516050574344
2012-08-06,0.19026272122143437,0.16791414970851015,0.16954407932972734,0.16033041128454553,0.1607556918608536,0.1603003205736926,0.16791414970851015,0.12365546070354512,0.12435540538698153,0.12450902788960473,0.15370298563492873
2012-08-07,0.18891279649231177,0.16669067860171677,0.16832638288765192,0.15915078377086747,0.15957335524405883,0.15912115626913687,0.16669067860171677,0.12275502362158719,0.12345177105393479,0.12360259745492462,0.15256865679212883
2012-08-08,0.18802126592215065,0.16568056376294574,0.16723738505025618,0.1581731631859844,0.1585931757037655,0.1581422625658822,0.16568056376294574,0.12189967645250586,0.12259174312386578,0.12274178554304027,0.15153900769818446
2012-08-09,0.18940301859313044,0.16664710135725758,0.16839830115811064,0.15883426299720949,0.1592784255627738,0.15881741301641752,0.16664710135725758,0.12187578244970353,0.12263629285619626,0.1227136053220179,0.15244205405551262
2012-08-10,0.18845773838612606,0.16588271186195483,0.16772151456725246,0.15801626080198758,0.15846529591366645,0.15800362831848025,0.16588271186195483,0.12128106338477178,0.1220506675517049,0.12211236977118362,0.151843380187604
2012-08-13,0.18730070731467727,0.16507579420920593,0.16749988446391337,0.15726934283085553,0.15771787709824805,0.1572624527927443,0.16507579420920593,0.12112032283119387,0.12189729299678995,0.12197050654321255,0.15136373495677274
2012-08-14,0.1866328922832472,0.165114922618457,0.1689458719706508,0.1571366265062561,0.1576011771292811,0.15714611435222026,0.165114922618457,0.12142802306587573,0.12220120778533906,0.12226072721527664,0.15207290189298275
2012-08-15,0.18536757504001677,0.16409017662989525,0.16795818903563503,0.1561816531287551,0.1566427652817342,0.15619188229779782,0.16409017662989525,0.12095338700367213,0.12173123773771719,0.12177386705494062,0.1513061568859831
2012-08-16,0.18414359614187376,0.1631289369554341,0.16700874692148174,0.15528392111049566,0.15574191099099643,0.15529560592886443,0.1631289369554341,0.1207005188043989,0.12145258029419119,0.12150544768725573,0.15059471662595914
2012-08-17,0.18406178691219746,0.162721111852042,0.1672058477498279,0.154814516716872,0.15527512478495792,0.15482797328479767,0.162721111852042,0.12055863014119031,0.12126351659718763,0.1213523736455727,0.15022614614809168
