date,n_assets,estimator,rule,condition_number,off_diagonal_zeros,shrinkage,turnover_traded,cost,effective_n_weights,effective_n_bets,diversification_ratio,max_weight,max_risk_contribution,ex_ante_volatility_annual,forecast_frobenius,forecast_log_likelihood,forecast_n,key
2012-05-02,13,sample,equal_weight,57.21504473420251,0.0,,1.0,0.0015,12.999999999999995,1.1668222548456573,1.4902101285350153,0.07692307692307694,0.12364433288804588,0.27620437080479227,0.0023434115470995416,32.42321219850659,20,equal_weight__sample
2012-05-30,13,sample,equal_weight,50.197786727881955,0.0,,0.05734035554814713,8.60105333222207e-05,12.999999999999995,1.1999929207915199,1.5013907913475348,0.07692307692307694,0.13102866316535297,0.2579036007154262,0.0027335254615584695,36.68236595406121,20,equal_weight__sample
2012-06-27,13,sample,equal_weight,114.24741656682295,0.0,,0.040859053631112446,6.128858044666868e-05,12.999999999999995,1.1335007881461923,1.4858881918437257,0.07692307692307694,0.14976277115508344,0.20703193814598198,0.001522654596574831,37.93348589163162,20,equal_weight__sample
2012-07-25,13,sample,equal_weight,196.4801841799704,0.0,,0.02508314557530915,3.762471836296372e-05,12.999999999999995,1.1625040957932224,1.466578374783291,0.07692307692307694,0.14636582305199092,0.19830005938720674,0.002349768799451847,14.05587323777188,20,equal_weight__sample
2012-08-22,14,sample,equal_weight,69.50427208017032,0.0,,0.15463222199443102,0.00023194833299164651,13.999999999999998,1.2528495556153456,1.5143147557592798,0.07142857142857144,0.1324642960040794,0.18264034701111823,0.005381174697579563,18.88868685008744,20,equal_weight__sample
2012-09-20,14,sample,equal_weight,83.26657805398501,0.0,,0.08010791159631894,0.0001201618673944784,13.999999999999998,1.1168235204736963,1.4329712619124735,0.07142857142857144,0.10890920389885023,0.2456748203929034,0.0022160056111247594,36.82741107160095,20,equal_weight__sample
2012-10-18,14,sample,equal_weight,115.24492667207588,0.0,,0.04426423422788474,6.639635134182711e-05,13.999999999999998,1.1122247660377143,1.4390503487849922,0.07142857142857144,0.10978147183267008,0.24907064793509612,0.002419136237617863,35.65667041888591,20,equal_weight__sample
2012-11-15,14,sample,equal_weight,67.50936824355847,0.0,,0.05325674785047968,7.988512177571951e-05,13.999999999999998,1.1411224808364533,1.4845073186498852,0.07142857142857144,0.1023789306225879,0.23785416003948204,0.002909206130742586,39.510521646334055,20,equal_weight__sample
2012-12-13,14,sample,equal_weight,76.45801977179782,0.0,,0.035376237535224245,5.306435630283637e-05,13.999999999999998,1.2836267270548363,1.685193951424428,0.07142857142857144,0.13809950563112,0.15878469138036544,0.002816971010425325,21.86712777773631,20,equal_weight__sample
2013-01-14,14,sample,equal_weight,58.36629678917569,0.0,,0.04770493443003139,7.155740164504707e-05,13.999999999999998,1.328909572364249,1.7395070906065864,0.07142857142857144,0.13005274459766988,0.178077903509354,0.0027656127073196427,34.48740355229562,20,equal_weight__sample
